COD;COUNTRY;YEAR;IDH;IDHr;INBpc;CONTCORR;EGOB;ESTPOL;CALIREG;RJUE;VOZYREND;GasSocial;IDEM;IPC;ILIB;IGINIGM;IGINICEPAL;RJUEd;GasSociald
PAN;Panama;2010;0.758;0.762;5310;-0.32;0.14;-0.12;0.38;-0.07;0.54;9.5;71.5;36;1.5;52;0.529;0.02;0.3
PAN;Panama;2011;0.764;0.762;5848;-0.32;0.09;-0.03;0.43;0.02;0.53;9.1;70.8;32.7;1.5;51.7;0.528;0.09;-0.4
PAN;Panama;2012;0.77;0.767;6102;-0.36;0.29;-0.18;0.38;-0.19;0.47;8.8;70.8;38;1.5;51.4;0.526;-0.21;-0.3
PAN;Panama;2013;0.775;0.771;6169;-0.35;0.29;-0.14;0.36;-0.22;0.42;8.5;70.8;35;2;51.2;0.524;-0.03;-0.3
PAN;Panama;2014;0.779;0.777;6140;-0.34;0.26;0.21;0.37;-0.06;0.51;8.2;70.8;37;2;51;0.502;0.16;-0.3
PAN;Panama;2015;0.782;0.778;6321;-0.37;0.29;0.39;0.35;-0.11;0.56;8.5;71.9;39;2;50.7;0.499;-0.05;0.3
PAN;Panama;2016;0.789;0.786;6507;-0.49;0.19;0.41;0.36;0.05;0.52;8.5;71.3;38;2;50.5;0.495;0.16;0
PAN;Panama;2017;0.793;0.79;6545;-0.54;0.02;0.39;0.39;0.04;0.52;8.8;70.8;37;2;50.5;0.505;-0.01;0.3
PAN;Panama;2018;0.795;0.791;6582;-0.55;-0.02;0.27;0.36;-0.09;0.57;8.8;70.5;37;1.5;50.4;0.501;-0.13;0
PAR;Paraguay;2007;0.671;0.675;3370;-1.18;-0.87;-0.74;-0.59;-0.97;-0.16;6.1;62.8;24;3;51.5;0.536;0.01;0
PAR;Paraguay;2008;0.68;0.684;3351;-0.98;-0.89;-0.72;-0.52;-0.93;-0.12;5.8;64;24;3;51.4;0.516;0.04;-0.3
PAR;Paraguay;2009;0.678;0.682;3500;-0.8;-0.92;-0.88;-0.44;-0.88;-0.13;7;64;21;3;51.2;0.503;0.05;1.2
PAR;Paraguay;2010;0.692;0.697;3661;-0.73;-0.93;-0.83;-0.36;-0.86;-0.08;6.4;64;22;3;50.2;0.527;0.02;-0.6
PAR;Paraguay;2011;0.697;0.701;3696;-0.72;-0.84;-0.69;-0.37;-0.84;-0.08;7.3;64;22.2;3;49.6;0.535;0.02;0.9
PAR;Paraguay;2012;0.697;0.703;3793;-0.86;-0.89;-0.87;-0.32;-0.85;-0.11;8.6;62.6;25;3;49.9;0.489;-0.01;1.3
PAR;Paraguay;2013;0.709;0.715;3874;-1.04;-0.87;-0.74;-0.31;-0.81;-0.1;8.2;62.6;24;3;49.2;0.495;0.04;-0.4
PAR;Paraguay;2014;0.712;0.717;4325;-0.97;-0.92;-0.09;-0.28;-0.67;-0.1;8.4;62.6;24;3;48.4;0.522;0.14;0.2
PAR;Paraguay;2015;0.718;0.724;4512;-0.95;-0.95;0.04;-0.27;-0.69;-0.07;8.8;63.3;27;3;48.4;0.494;-0.02;0.4
PAR;Paraguay;2016;0.718;0.723;4414;-0.71;-0.79;0.14;-0.3;-0.73;-0.06;8.5;62.7;30;3;48.4;0.497;-0.04;-0.3
PAR;Paraguay;2017;0.722;0.726;4267;-0.73;-0.82;0;-0.23;-0.65;-0.04;8.6;63.1;29;3;47.8;0.503;0.08;0.1
PAR;Paraguay;2018;0.724;0.727;4152;-0.84;-0.52;-0.07;-0.08;-0.52;0.06;8.6;62.4;29;3;47.9;0.474;0.13;0
PER;Peru;2007;0.705;0.727;8675;-0.25;-0.52;-0.77;0.28;-0.73;0.11;8.9;62.1;35;2.5;49.4;0.518;-0.04;0
PER;Peru;2008;0.715;0.735;9220;-0.19;-0.36;-0.89;0.35;-0.7;0.15;9.3;63.1;36;2.5;48.4;0.495;0.03;0.4
PER;Peru;2009;0.718;0.739;9035;-0.31;-0.42;-1.18;0.39;-0.61;0.08;10.2;63.55;37;2.5;47.2;0.488;0.09;0.9
PER;Peru;2010;0.721;0.739;9905;-0.23;-0.19;-1;0.45;-0.56;0.11;9.5;64;35;2.5;46.1;0.471;0.05;-0.7
PER;Peru;2011;0.734;0.756;10324;-0.22;-0.16;-0.76;0.46;-0.58;0.13;9;65.9;33.9;2.5;45.3;0.463;-0.02;-0.5
PER;Peru;2012;0.734;0.751;10044;-0.37;-0.14;-0.91;0.49;-0.57;0.11;9.4;64.7;38;2.5;44.6;0.457;0.01;0.4
PER;Peru;2013;0.742;0.757;10777;-0.42;-0.11;-0.81;0.46;-0.57;0.08;10.3;65.4;38;2.5;44.1;0.453;0;0.9
PER;Peru;2014;0.752;0.771;11188;-0.56;-0.27;-0.55;0.52;-0.52;0.19;11.1;65.4;38;2.5;43.9;0.446;0.05;0.8
PER;Peru;2015;0.75;0.766;11371;-0.53;-0.28;-0.4;0.49;-0.49;0.23;11;65.8;36;2.5;43.7;0.449;0.03;-0.1
PER;Peru;2016;0.755;0.772;11668;-0.37;-0.18;-0.2;0.51;-0.48;0.27;10.4;66.5;35;2.5;43.6;0.452;0.01;-0.6
PER;Peru;2017;0.756;0.774;12205;-0.5;-0.13;-0.26;0.42;-0.5;0.27;11.4;64.9;37;2.5;43.7;0.448;-0.02;1
PER;Peru;2018;0.759;0.775;12420;-0.53;-0.25;-0.26;0.5;-0.53;0.23;11.1;66;35;2.5;43.8;0.439;-0.03;-0.3
URY;Uruguay;2007;0.763;0.77;44116;1.24;0.53;0.84;0.28;0.6;1.05;11.7;80.2;67;1;45.8;0.468;0.04;-0.2
URY;Uruguay;2008;0.767;0.773;43454;1.31;0.5;0.85;0.26;0.6;1.06;12.2;80.8;69;1;45.5;0.453;0;0.5
URY;Uruguay;2009;0.779;0.788;41367;1.24;0.6;0.79;0.38;0.72;1.11;12.7;80.9;67;1;44.8;0.447;0.12;0.5
URY;Uruguay;2010;0.774;0.774;42183;1.28;0.63;0.82;0.39;0.74;1.15;12.7;81;69;1;43.5;0.438;0.02;0
URY;Uruguay;2011;0.783;0.784;42635;1.28;0.55;0.96;0.44;0.7;1.12;13.4;81.7;70.4;1;42.6;0.413;-0.04;0.7
URY;Uruguay;2012;0.788;0.793;42362;1.36;0.44;0.71;0.44;0.59;1.06;13.8;81.7;72;1;41.5;0.391;-0.11;0.4
URY;Uruguay;2013;0.797;0.802;42547;1.38;0.45;0.8;0.54;0.56;1.09;14.2;81.7;73;1;40.6;0.397;-0.03;0.4
URY;Uruguay;2014;0.8;0.805;43330;1.38;0.48;0.99;0.53;0.71;1.11;14.3;81.7;73;1;40.1;0.392;0.15;0.1
URY;Uruguay;2015;0.802;0.807;43885;1.32;0.53;1;0.42;0.71;1.14;14.9;81.7;74;1;40.1;0.392;0;0.6
URY;Uruguay;2016;0.806;0.812;44335;1.27;0.57;1.06;0.49;0.63;1.16;15.9;81.7;71;1;39.9;0.391;-0.08;1
URY;Uruguay;2017;0.807;0.813;45427;1.29;0.43;1.05;0.66;0.59;1.17;16.8;81.2;70;1;39.8;0.39;-0.04;0.9
URY;Uruguay;2018;0.808;0.814;45686;1.26;0.56;1.04;0.51;0.59;1.21;17.2;83.8;70;1;39.7;0.391;0;0.4
VEN;Venezuela (Bolivarian Republic of);2007;0.743;0.724;3912;-1.11;-1.09;-1.23;-1.44;-1.57;-0.75;12.8;53.8;20;4;48;0.391;-0.15;-0.9
VEN;Venezuela (Bolivarian Republic of);2008;0.753;0.735;4045;-1.17;-1.14;-1.31;-1.39;-1.62;-0.75;13.1;53.4;19;4;46.9;0.379;-0.05;0.3
VEN;Venezuela (Bolivarian Republic of);2009;0.752;0.738;4292;-1.19;-0.99;-1.28;-1.59;-1.62;-0.85;13;52.6;19;4.5;46.9;0.381;0;-0.1
VEN;Venezuela (Bolivarian Republic of);2010;0.753;0.742;4715;-1.23;-1.11;-1.26;-1.62;-1.65;-0.87;11.6;51.8;20;5;46.9;0.364;-0.03;-1.4
VEN;Venezuela (Bolivarian Republic of);2011;0.764;0.759;5032;-1.17;-1.19;-1.09;-1.48;-1.68;-0.93;13.4;50.8;18.9;5;46.9;0.368;-0.03;1.8
VEN;Venezuela (Bolivarian Republic of);2012;0.767;0.76;5341;-1.27;-1.15;-1.03;-1.52;-1.69;-0.91;14.4;51.5;19;5;46.9;0.384;-0.01;1
VEN;Venezuela (Bolivarian Republic of);2013;0.772;0.768;5702;-1.31;-1.17;-1.08;-1.63;-1.82;-0.95;16.1;50.7;20;5;46.9;0.388;-0.13;1.7
VEN;Venezuela (Bolivarian Republic of);2014;0.77;0.767;5970;-1.4;-1.23;-0.85;-1.82;-1.92;-1.08;18.8;50.7;19;5;46.9;0.378;-0.1;2.7
VEN;Venezuela (Bolivarian Republic of);2015;0.763;0.765;6186;-1.39;-1.22;-0.98;-1.88;-2.03;-1.09;18.8;50;17;5;46.9;0.381;-0.11;0
VEN;Venezuela (Bolivarian Republic of);2016;0.752;0.763;6415;-1.35;-1.29;-1.02;-2;-2.24;-1.14;18.8;46.8;17;5.5;46.9;0.38;-0.21;0
VEN;Venezuela (Bolivarian Republic of);2017;0.735;0.75;6652;-1.36;-1.4;-1.25;-1.96;-2.26;-1.21;18.8;38.7;18;5.5;46.9;0.381;-0.02;0
VEN;Venezuela (Bolivarian Republic of);2018;0.726;0.749;6894;-1.47;-1.58;-1.32;-2.36;-2.32;-1.41;18.8;31.6;18;6.5;46.9;0.377;-0.06;0
