		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Bahamas. The	BHS	1.16	0.42	2.00	83.87	69.89	93.01	1.34	0.43	2.00	86.08	74.74	94.33	1.35	0.43	2.00	86.80	74.62	94.42	1.46	0.37	2.00	89.90	79.29	94.95	1.45	0.36	2.00	90.40	78.28	95.45	1.43	0.34	2.00	91.71	79.51	95.12	1.34	0.30	2.00	89.27	79.02	93.17	1.35	0.35	2.00	90.24	76.59	94.63	1.34	0.36	2.00	89.32	74.27	93.69	1.34	0.35	2.00	89.32	74.27	94.66	1.37	0.27	3.00	88.52	78.95	93.78	1.35	0.26	3.00	88.57	79.52	93.33	1.35	0.26	3.00	89.10	78.67	93.36	1.32	0.22	3.00	87.68	80.57	92.89	1.34	0.23	3.00	88.63	80.57	93.36	1.31	0.21	3.00	88.46	79.81	92.31	1.14	0.18	4.00	83.17	76.92	89.90	1.11	0.19	4.00	81.73	76.92	90.38	1.17	0.16	4.00	83.65	80.77	89.42	1.13	0.18	4.00	83.17	79.81	88.94	1.18	0.19	5.00	84.13	79.81	89.90
Bosnia and Herzegovina	BIH	-0.27	0.28	3.00	48.92	28.49	60.75	-0.38	0.19	5.00	42.78	31.44	54.12	-0.56	0.19	6.00	33.50	21.83	47.72	-0.40	0.17	6.00	42.93	31.31	53.54	-0.30	0.17	7.00	46.46	33.84	58.08	-0.34	0.15	10.00	44.88	31.22	54.15	-0.24	0.15	10.00	50.73	40.00	56.10	-0.30	0.15	11.00	44.39	35.61	56.10	-0.38	0.15	12.00	41.26	31.07	54.37	-0.36	0.14	12.00	42.72	32.52	53.88	-0.38	0.15	12.00	42.58	29.19	54.07	-0.34	0.14	12.00	44.76	32.38	55.24	-0.32	0.15	11.00	47.87	33.65	55.92	-0.30	0.13	14.00	47.39	36.02	56.40	-0.24	0.14	13.00	50.24	39.81	59.24	-0.31	0.15	12.00	47.60	34.13	54.33	-0.39	0.14	13.00	43.27	31.25	52.88	-0.46	0.15	12.00	37.02	26.92	50.00	-0.52	0.14	12.00	37.02	23.56	45.19	-0.57	0.14	12.00	31.25	23.08	42.79	-0.61	0.15	11.00	30.29	20.67	41.35
Belarus	BLR	-0.39	0.34	2.00	42.47	17.74	60.75	-0.43	0.22	5.00	41.75	25.77	54.64	-0.38	0.22	6.00	42.64	27.92	57.36	-0.70	0.21	6.00	30.81	11.62	43.43	-0.59	0.19	7.00	33.84	18.18	46.97	-0.80	0.18	7.00	23.41	12.20	35.61	-0.75	0.17	7.00	23.90	15.61	40.00	-0.62	0.16	9.00	31.71	19.51	41.95	-0.66	0.16	9.00	29.61	18.45	40.29	-0.63	0.15	11.00	32.04	19.42	41.26	-0.63	0.15	11.00	29.19	20.10	42.58	-0.69	0.15	11.00	27.14	17.62	40.00	-0.68	0.15	10.00	27.01	18.48	40.28	-0.52	0.13	12.00	36.49	27.01	46.92	-0.47	0.13	12.00	39.81	27.49	48.82	-0.30	0.13	11.00	48.08	35.58	54.33	-0.34	0.13	11.00	46.63	32.69	54.33	-0.26	0.14	11.00	48.56	36.54	56.25	-0.26	0.13	11.00	47.12	40.38	54.81	-0.19	0.14	11.00	49.04	39.90	58.65	-0.06	0.15	10.00	53.85	44.23	60.58
Belize	BLZ	-0.03	0.48	1.00	56.45	25.27	76.34	-0.09	0.38	2.00	53.61	30.93	71.65	-0.18	0.34	2.00	52.79	27.92	67.51	-0.24	0.34	2.00	48.99	26.26	67.17	-0.09	0.32	2.00	56.06	32.32	71.72	-0.29	0.29	3.00	48.29	25.37	60.49	-0.30	0.28	3.00	48.78	23.90	58.05	-0.36	0.26	4.00	41.95	23.90	59.02	-0.37	0.25	5.00	42.72	22.82	58.25	-0.34	0.24	6.00	43.69	26.70	59.22	-0.05	0.24	6.00	57.42	40.19	67.94	-0.11	0.24	6.00	55.24	37.62	63.81	-0.33	0.22	7.00	46.92	26.07	57.35	-0.14	0.25	6.00	54.50	35.07	64.45	-0.10	0.25	6.00	54.98	37.44	65.40	-0.20	0.20	6.00	51.92	35.10	59.13	-0.22	0.20	7.00	51.92	33.17	60.58	-0.24	0.20	6.00	49.52	32.21	59.62	-0.27	0.21	4.00	45.67	29.81	58.65	-0.14	0.20	4.00	51.92	38.46	61.54	-0.20	0.19	5.00	48.56	34.13	59.62
Bermuda	BMU	1.32	0.48	1.00	87.10	72.04	96.77	1.38	0.46	1.00	89.18	74.74	96.91	1.36	0.47	1.00	88.83	73.10	95.43	1.35	0.44	1.00	88.38	74.75	95.45	1.38	0.40	1.00	88.89	76.26	94.95	1.33	0.40	1.00	87.80	75.12	95.12	1.28	0.34	1.00	88.29	73.66	93.17	1.26	0.42	1.00	88.29	72.20	94.63	1.27	0.42	1.00	88.83	72.33	93.69	1.29	0.40	1.00	87.86	73.79	94.66	1.33	0.43	1.00	88.04	72.73	95.22	1.31	0.43	1.00	88.10	72.38	94.76	1.28	0.42	1.00	88.15	72.04	94.79	1.27	0.43	1.00	87.20	71.56	95.26	1.26	0.44	1.00	86.73	70.14	95.73	1.23	0.42	1.00	87.02	69.23	95.19	1.22	0.42	1.00	87.02	68.27	95.19	1.23	0.42	1.00	87.50	68.75	94.71	1.24	0.40	1.00	86.54	70.67	95.19	1.24	0.40	1.00	86.54	71.15	94.71	1.23	0.41	1.00	87.50	70.19	95.19
Bolivia	BOL	-0.82	0.26	4.00	25.27	6.45	41.94	-0.36	0.22	5.00	44.33	30.93	54.64	-0.46	0.21	6.00	37.06	26.40	53.81	-0.90	0.19	7.00	21.72	6.06	32.32	-0.82	0.18	8.00	23.23	10.10	35.35	-0.78	0.16	12.00	24.88	14.15	35.61	-0.74	0.17	12.00	24.88	16.59	40.98	-0.43	0.15	14.00	39.02	28.78	52.68	-0.40	0.16	14.00	39.81	28.64	53.88	-0.52	0.16	14.00	35.92	23.79	48.54	-0.63	0.16	14.00	28.71	20.10	43.06	-0.47	0.16	15.00	39.05	25.71	52.38	-0.57	0.15	16.00	34.12	21.33	46.92	-0.73	0.14	16.00	27.01	17.06	37.44	-0.59	0.14	15.00	34.60	21.80	44.08	-0.63	0.14	14.00	30.29	20.19	42.79	-0.70	0.14	14.00	26.92	17.31	38.46	-0.72	0.14	14.00	25.00	14.90	35.10	-0.66	0.13	13.00	28.37	18.27	41.83	-0.62	0.13	13.00	28.85	21.15	39.90	-0.74	0.13	13.00	25.96	16.83	33.65
Brazil	BRA	-0.02	0.21	6.00	56.99	44.09	63.44	0.08	0.18	7.00	58.76	48.97	67.53	0.04	0.19	7.00	58.88	47.21	65.99	0.08	0.17	8.00	60.61	49.49	68.18	0.09	0.17	9.00	61.11	52.02	69.19	0.02	0.15	11.00	56.59	50.24	62.93	-0.14	0.15	11.00	52.68	42.93	58.05	-0.11	0.14	15.00	54.15	42.44	60.00	-0.08	0.15	14.00	55.34	47.09	60.19	0.01	0.15	14.00	59.22	50.49	63.11	-0.07	0.15	15.00	56.46	45.45	62.68	0.05	0.15	16.00	60.00	52.86	64.29	0.17	0.14	17.00	63.03	55.92	68.25	-0.04	0.13	16.00	58.29	49.76	62.56	-0.08	0.13	16.00	55.92	46.45	62.09	-0.34	0.13	13.00	46.63	34.13	52.88	-0.40	0.13	13.00	42.79	31.25	52.88	-0.38	0.13	15.00	42.79	32.21	50.96	-0.53	0.12	14.00	36.06	24.52	44.71	-0.40	0.12	15.00	40.38	29.81	48.08	-0.33	0.13	15.00	42.31	32.69	51.44
Barbados	BRB	1.54	0.34	2.00	90.86	81.18	96.77	1.59	0.33	2.00	91.24	82.47	96.91	1.57	0.36	2.00	91.37	83.25	95.94	1.53	0.36	2.00	90.91	81.82	95.96	1.54	0.33	2.00	91.41	81.82	96.97	1.43	0.31	3.00	91.22	81.46	95.12	1.42	0.28	3.00	90.73	80.00	94.15	1.33	0.26	4.00	89.76	79.02	92.20	1.41	0.27	4.00	91.26	79.13	93.20	1.37	0.26	3.00	89.81	78.64	93.20	1.38	0.23	4.00	89.95	80.38	93.30	1.48	0.23	4.00	90.00	82.86	93.81	1.72	0.23	4.00	92.89	88.15	96.21	1.66	0.24	4.00	92.42	85.31	95.73	1.62	0.24	4.00	91.47	83.41	95.73	1.14	0.24	4.00	82.69	74.52	90.87	1.49	0.21	4.00	90.38	83.17	92.79	1.26	0.20	5.00	87.98	80.77	91.83	1.42	0.21	4.00	89.42	82.21	92.31	1.41	0.21	4.00	88.94	82.21	92.31	1.26	0.19	6.00	88.46	80.77	91.35
Brunei Darussalam	BRN	0.48	0.42	2.00	71.51	49.46	83.87	0.38	0.43	2.00	67.53	44.85	82.47	0.37	0.43	2.00	67.01	44.16	84.26	0.31	0.37	2.00	65.66	46.97	80.81	0.32	0.36	2.00	66.16	46.97	80.30	0.41	0.34	2.00	68.29	51.71	81.95	0.25	0.30	2.00	62.44	49.76	73.66	0.21	0.35	2.00	61.95	41.95	74.15	0.21	0.36	2.00	62.14	41.75	76.70	0.49	0.27	4.00	71.36	59.22	78.64	0.99	0.23	5.00	79.90	72.25	88.04	0.86	0.22	5.00	78.10	71.43	85.24	0.86	0.22	5.00	77.25	70.62	84.36	0.55	0.21	4.00	71.56	63.03	77.25	0.65	0.21	4.00	72.99	64.93	81.04	0.53	0.21	3.00	69.71	61.06	78.85	0.57	0.21	3.00	69.23	62.98	78.85	0.57	0.19	5.00	70.19	64.42	79.33	0.71	0.16	5.00	75.00	66.35	81.25	0.80	0.18	5.00	79.81	68.75	82.21	0.80	0.20	5.00	78.37	67.79	83.65
Bhutan	BTN	0.94	0.34	2.00	81.18	66.13	90.32	1.00	0.30	3.00	82.47	70.10	90.72	0.99	0.27	4.00	83.76	72.59	89.85	1.04	0.29	4.00	83.33	73.23	90.40	1.09	0.27	4.00	82.83	75.25	90.91	0.80	0.25	6.00	76.59	66.34	85.37	0.82	0.22	7.00	78.05	67.32	83.90	0.82	0.23	7.00	77.56	69.76	84.88	0.88	0.23	7.00	77.67	71.36	85.92	0.86	0.22	7.00	77.67	71.36	84.95	0.91	0.20	8.00	77.99	72.25	85.65	0.91	0.20	8.00	79.05	72.38	85.24	0.84	0.19	8.00	76.78	70.62	83.89	0.94	0.20	8.00	78.67	72.04	87.20	0.90	0.19	10.00	77.73	70.62	83.41	1.28	0.19	9.00	87.50	79.81	91.35	1.02	0.19	9.00	82.21	75.48	89.42	1.13	0.19	9.00	82.21	76.92	90.38	1.57	0.19	8.00	91.83	87.50	95.19	1.65	0.20	6.00	91.83	87.50	95.19	1.62	0.21	6.00	91.83	88.46	95.19
South Sudan	SSD	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.82	0.74	1.00	21.43	0.00	69.05	-1.40	0.31	4.00	3.32	0.00	19.91	-1.28	0.22	7.00	5.21	0.00	18.96	-1.38	0.23	8.00	3.79	0.00	15.64	-1.59	0.20	9.00	0.96	0.00	8.17	-1.69	0.20	10.00	0.48	0.00	4.81	-1.71	0.20	9.00	0.48	0.00	5.77	-1.71	0.20	9.00	0.96	0.00	6.25	-1.73	0.19	9.00	0.48	0.00	5.77	-1.77	0.19	9.00	0.00	0.00	4.33
Botswana	BWA	0.82	0.26	4.00	77.42	66.13	84.95	0.89	0.21	6.00	79.90	71.65	85.05	0.83	0.22	6.00	78.68	70.56	85.28	0.66	0.18	8.00	75.76	68.18	81.82	1.22	0.18	9.00	84.85	81.31	90.91	0.90	0.16	10.00	80.49	73.66	84.88	1.16	0.16	10.00	83.90	79.02	90.73	0.97	0.15	12.00	80.00	74.15	84.88	1.00	0.16	12.00	80.10	74.27	85.92	1.04	0.15	12.00	82.04	74.27	84.95	0.96	0.16	12.00	79.43	72.73	84.69	1.03	0.15	12.00	81.90	74.29	85.71	1.00	0.15	12.00	79.62	72.99	85.31	0.93	0.14	13.00	78.20	73.46	83.41	0.92	0.14	14.00	79.15	73.93	82.94	0.85	0.13	13.00	78.37	72.12	81.73	0.85	0.13	15.00	77.40	72.60	82.21	0.93	0.14	14.00	80.77	74.52	83.17	0.79	0.13	14.00	78.85	70.67	81.73	0.75	0.13	14.00	77.88	69.23	81.25	0.71	0.14	14.00	75.48	67.79	80.77
Central African Republic	CAF	-1.14	0.34	2.00	11.29	0.00	32.26	-1.01	0.28	4.00	15.46	0.52	34.54	-1.18	0.27	4.00	8.12	0.00	27.92	-1.09	0.28	4.00	10.61	0.00	32.32	-1.16	0.24	5.00	9.09	0.51	24.75	-1.39	0.21	6.00	3.90	0.00	14.15	-1.28	0.21	6.00	8.29	0.00	18.05	-1.21	0.21	6.00	8.29	0.98	19.51	-1.19	0.21	7.00	8.25	1.46	19.90	-1.12	0.22	6.00	11.65	2.43	25.24	-0.98	0.18	9.00	18.18	5.74	26.79	-0.93	0.18	9.00	18.10	7.62	30.00	-0.95	0.18	9.00	18.48	6.16	28.91	-0.99	0.19	9.00	16.59	4.74	28.44	-1.09	0.19	10.00	12.32	3.32	22.27	-1.16	0.18	10.00	11.06	2.88	20.19	-1.31	0.18	9.00	7.21	1.44	13.46	-1.28	0.18	10.00	8.65	1.92	13.46	-1.17	0.18	10.00	11.54	4.81	17.79	-1.23	0.17	10.00	10.58	3.37	15.87	-1.23	0.17	10.00	10.58	4.33	16.83
Canada	CAN	2.03	0.21	6.00	96.24	91.40	100.00	2.09	0.19	6.00	95.36	92.27	100.00	2.12	0.20	6.00	95.43	92.39	100.00	2.03	0.18	6.00	94.44	91.92	98.99	1.99	0.19	6.00	94.44	91.41	98.48	1.83	0.17	7.00	92.20	91.71	97.07	1.88	0.17	7.00	93.66	92.20	97.56	1.96	0.16	10.00	95.61	91.71	98.54	2.00	0.16	11.00	95.15	91.75	98.54	2.00	0.16	11.00	95.63	92.23	98.06	2.06	0.17	11.00	96.65	93.78	99.04	2.07	0.17	11.00	96.19	93.33	99.52	1.98	0.16	12.00	95.26	92.42	99.05	1.93	0.15	12.00	95.26	92.89	97.63	1.89	0.15	11.00	95.26	91.94	97.16	1.84	0.14	11.00	94.23	91.83	95.67	1.89	0.14	11.00	95.19	92.79	97.12	1.99	0.15	10.00	96.15	92.79	99.04	1.92	0.13	10.00	95.67	92.31	98.08	1.83	0.15	9.00	93.75	90.87	96.63	1.77	0.16	9.00	93.27	89.90	96.63
Switzerland	CHE	1.99	0.21	6.00	95.70	91.40	100.00	2.11	0.19	6.00	95.88	92.27	100.00	2.11	0.20	6.00	94.92	92.39	100.00	2.11	0.18	6.00	95.96	92.42	99.49	2.07	0.19	6.00	96.97	92.42	98.99	2.01	0.17	7.00	96.10	91.71	98.05	2.02	0.17	7.00	97.07	92.68	99.02	2.09	0.18	8.00	96.59	92.68	99.02	2.15	0.19	8.00	96.60	93.20	100.00	2.12	0.18	8.00	97.09	93.20	100.00	2.07	0.17	9.00	97.13	93.78	99.04	2.07	0.17	9.00	96.67	93.33	99.52	2.04	0.17	9.00	95.73	93.36	99.53	2.15	0.16	9.00	97.63	94.31	100.00	2.13	0.17	9.00	97.63	94.79	99.53	2.15	0.16	9.00	97.60	95.19	100.00	2.14	0.16	9.00	97.60	93.75	100.00	1.99	0.16	9.00	95.67	92.79	99.52	1.99	0.15	9.00	96.63	92.31	99.04	2.01	0.16	9.00	96.63	92.31	100.00	1.98	0.18	8.00	96.15	92.31	100.00
Chile	CHL	1.45	0.21	6.00	90.32	81.18	93.01	1.38	0.18	7.00	89.69	82.47	92.27	1.59	0.19	7.00	91.88	85.79	93.40	1.59	0.17	8.00	91.41	85.86	92.42	1.31	0.17	9.00	85.86	81.82	91.41	1.37	0.16	10.00	89.76	83.90	91.71	1.47	0.15	11.00	91.22	84.39	92.68	1.46	0.14	14.00	91.22	84.88	91.71	1.40	0.15	14.00	90.78	84.47	91.75	1.38	0.15	14.00	90.78	83.01	91.75	1.38	0.15	14.00	89.47	84.21	91.39	1.50	0.16	14.00	90.48	85.24	92.86	1.53	0.15	14.00	90.05	88.15	93.36	1.58	0.14	14.00	91.00	88.63	93.84	1.54	0.14	14.00	90.52	87.68	93.36	1.49	0.13	13.00	90.87	87.02	92.79	1.28	0.13	13.00	87.50	82.21	90.38	1.14	0.13	14.00	82.69	79.81	89.42	1.04	0.13	13.00	82.21	79.81	87.02	1.05	0.12	14.00	82.21	79.81	86.54	1.09	0.13	14.00	83.17	79.33	88.94
China	CHN	-0.27	0.19	7.00	48.39	32.26	58.60	-0.27	0.17	8.00	46.39	34.54	54.64	-0.22	0.16	8.00	49.24	36.04	58.88	-0.52	0.16	8.00	35.35	26.77	47.47	-0.36	0.15	9.00	44.95	32.32	55.56	-0.56	0.14	11.00	34.63	23.90	44.88	-0.61	0.14	11.00	33.17	20.98	43.41	-0.51	0.13	12.00	37.07	26.34	45.37	-0.59	0.14	13.00	33.50	19.90	43.20	-0.52	0.14	13.00	36.41	25.24	48.06	-0.51	0.13	13.00	36.84	24.88	48.33	-0.56	0.13	14.00	33.33	21.90	44.29	-0.51	0.14	15.00	37.91	23.22	49.29	-0.44	0.13	15.00	40.28	29.86	51.18	-0.36	0.13	14.00	44.55	35.07	54.03	-0.34	0.12	12.00	45.67	34.62	52.88	-0.28	0.12	12.00	48.08	37.50	54.81	-0.25	0.13	13.00	49.04	36.54	56.25	-0.27	0.12	13.00	46.63	40.38	54.81	-0.27	0.12	13.00	45.67	37.98	55.29	-0.32	0.14	11.00	43.27	32.69	51.44
Côte d'Ivoire	CIV	-0.26	0.26	4.00	49.46	29.57	60.75	-0.47	0.21	6.00	37.11	24.74	51.55	-0.68	0.22	6.00	29.95	13.71	44.67	-0.77	0.20	6.00	27.27	10.61	39.90	-0.98	0.20	7.00	14.14	5.56	30.81	-1.21	0.18	8.00	10.24	0.98	18.05	-1.24	0.18	8.00	9.27	0.98	17.56	-1.20	0.17	9.00	8.78	1.95	19.02	-1.09	0.17	8.00	12.62	3.88	20.87	-1.11	0.16	10.00	12.62	3.88	19.42	-1.10	0.16	12.00	12.44	3.35	20.10	-1.16	0.16	12.00	11.43	2.38	19.05	-1.01	0.15	13.00	16.59	5.69	23.22	-0.83	0.14	14.00	21.80	14.22	31.75	-0.74	0.13	15.00	26.07	17.06	36.97	-0.42	0.13	14.00	42.31	29.81	51.44	-0.43	0.13	15.00	41.35	29.33	52.40	-0.53	0.14	15.00	33.17	23.56	45.67	-0.53	0.13	14.00	36.54	24.52	44.71	-0.50	0.13	14.00	36.54	26.44	45.19	-0.53	0.14	15.00	33.65	25.48	44.23
Cameroon	CMR	-1.33	0.26	4.00	3.76	0.00	18.82	-1.22	0.21	6.00	7.73	0.52	22.16	-1.19	0.22	6.00	7.11	0.00	25.38	-1.17	0.20	6.00	7.58	0.00	24.24	-0.98	0.18	8.00	14.65	5.56	28.79	-1.11	0.17	9.00	11.71	3.41	21.95	-1.18	0.16	10.00	11.22	1.95	18.05	-1.09	0.15	12.00	13.66	5.37	20.00	-1.02	0.15	13.00	16.50	6.80	23.30	-1.02	0.15	13.00	15.53	4.85	24.27	-1.00	0.16	13.00	17.22	5.74	24.88	-1.06	0.16	13.00	14.29	3.81	21.90	-1.15	0.14	15.00	12.32	3.32	18.96	-1.26	0.14	15.00	8.06	0.95	15.17	-1.21	0.13	15.00	9.95	1.90	16.11	-1.16	0.13	15.00	10.58	4.81	15.38	-1.07	0.13	15.00	12.98	7.69	19.23	-1.15	0.14	15.00	11.54	6.25	15.38	-1.20	0.13	15.00	11.06	6.25	14.90	-1.15	0.13	15.00	11.06	7.21	16.35	-1.21	0.14	15.00	11.06	5.29	16.83
Congo. Rep.	COG	-0.86	0.32	3.00	23.12	3.23	45.70	-1.27	0.27	5.00	4.64	0.00	24.74	-1.12	0.27	5.00	10.15	0.00	29.44	-0.99	0.26	5.00	16.16	1.01	33.84	-1.01	0.26	5.00	12.12	2.53	33.84	-0.93	0.22	6.00	17.56	7.80	33.66	-1.04	0.18	8.00	15.61	4.88	23.90	-1.10	0.18	9.00	11.71	3.90	21.95	-1.15	0.18	9.00	9.71	2.91	19.90	-1.18	0.18	9.00	9.22	2.43	19.42	-1.20	0.17	9.00	8.61	1.44	19.14	-1.15	0.17	9.00	12.38	2.38	20.00	-1.12	0.17	9.00	12.80	3.32	20.38	-1.21	0.16	10.00	10.43	0.95	18.01	-1.15	0.16	11.00	10.90	1.90	20.85	-1.18	0.16	11.00	10.10	3.85	16.83	-1.20	0.15	11.00	10.58	3.37	15.87	-1.19	0.16	11.00	10.58	4.81	15.38	-1.33	0.14	11.00	8.17	1.92	12.02	-1.36	0.15	11.00	7.69	1.44	11.54	-1.41	0.16	11.00	6.25	1.92	12.02
Cook Islands	COK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.23	0.63	1.00	63.45	25.38	85.28	0.18	0.70	1.00	62.12	18.18	85.86	0.09	0.74	1.00	60.61	10.10	85.35	0.11	0.84	1.00	57.56	8.78	91.71	0.57	0.67	1.00	71.22	37.07	92.68	0.60	0.76	1.00	72.68	30.73	93.17	1.05	0.75	1.00	82.52	51.94	98.54	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.58	0.60	1.00	33.01	0.48	69.38	-0.25	0.60	1.00	50.00	7.62	73.33	-0.23	0.60	1.00	51.18	8.06	72.99	-0.22	0.62	1.00	51.66	8.53	76.30	-0.22	0.68	1.00	50.71	4.27	77.25	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Colombia	COL	-0.51	0.21	6.00	36.56	23.12	50.54	-0.50	0.18	7.00	36.08	25.26	50.00	-0.40	0.19	7.00	40.61	29.44	54.82	-0.24	0.17	8.00	48.48	34.34	59.60	-0.18	0.17	9.00	52.53	40.40	61.11	-0.13	0.15	12.00	53.66	42.44	58.05	-0.13	0.15	13.00	53.17	43.41	58.05	-0.12	0.14	15.00	53.66	41.95	59.51	-0.22	0.15	16.00	51.46	37.86	57.77	-0.24	0.14	16.00	50.49	37.86	58.74	-0.31	0.15	16.00	46.89	33.97	56.46	-0.39	0.15	16.00	42.38	30.48	54.29	-0.29	0.14	17.00	49.29	36.97	55.92	-0.39	0.13	17.00	43.13	31.75	53.08	-0.41	0.13	16.00	42.18	31.75	53.55	-0.37	0.13	15.00	44.23	33.17	52.40	-0.30	0.13	15.00	47.60	36.54	54.81	-0.32	0.13	15.00	44.71	32.69	53.85	-0.37	0.12	15.00	43.75	31.25	50.48	-0.29	0.12	15.00	45.19	37.98	53.85	-0.23	0.13	15.00	48.08	37.50	55.77
Comoros	COM	-1.00	0.34	2.00	16.67	0.54	39.25	-1.23	0.28	4.00	7.22	0.52	28.35	-1.11	0.27	4.00	11.68	0.00	30.96	-0.90	0.28	4.00	22.22	1.52	41.41	-0.86	0.27	4.00	20.71	5.56	41.41	-0.90	0.24	5.00	19.51	8.29	35.61	-0.88	0.23	5.00	19.02	8.29	38.05	-0.70	0.24	5.00	28.29	12.20	44.39	-0.71	0.24	5.00	28.16	11.65	47.09	-0.79	0.24	5.00	22.82	7.77	40.29	-0.83	0.25	6.00	22.01	6.22	40.19	-0.81	0.25	6.00	21.90	7.62	41.90	-0.79	0.25	6.00	22.75	8.06	43.13	-0.78	0.25	6.00	23.70	10.43	43.13	-0.74	0.26	7.00	25.12	10.43	45.97	-0.61	0.25	7.00	31.73	13.94	51.44	-0.72	0.25	6.00	25.96	11.54	46.63	-0.67	0.22	7.00	29.33	12.98	45.67	-0.68	0.22	7.00	26.44	13.46	44.71	-0.82	0.21	7.00	22.60	10.58	37.98	-1.02	0.21	7.00	15.38	7.69	26.92
Cape Verde	CPV	1.14	0.44	1.00	83.33	69.35	93.01	0.56	0.33	3.00	72.68	55.15	84.02	0.63	0.32	3.00	74.62	59.90	84.77	0.57	0.27	5.00	73.74	61.11	82.32	0.59	0.26	5.00	74.75	61.62	81.82	0.46	0.22	6.00	70.73	57.07	77.56	0.56	0.23	6.00	70.24	59.02	80.00	0.81	0.21	7.00	77.07	70.73	84.39	0.89	0.21	7.00	79.13	72.33	84.95	0.87	0.20	7.00	78.16	72.82	84.47	0.87	0.20	7.00	77.51	72.25	84.69	0.86	0.19	8.00	77.62	71.90	84.29	0.90	0.19	8.00	78.67	72.04	84.36	0.87	0.19	8.00	77.25	71.56	83.89	0.84	0.19	9.00	77.25	70.14	82.94	0.94	0.19	9.00	79.33	70.67	87.02	0.95	0.19	10.00	79.81	73.08	87.02	0.87	0.19	10.00	78.85	69.23	84.13	0.83	0.18	10.00	80.29	69.23	82.69	0.77	0.17	10.00	78.37	67.79	82.21	0.87	0.18	10.00	79.81	70.67	83.65
