Belarus	BLR	0.09	0.48	2.00	50.00	22.87	74.47	0.11	0.38	3.00	50.00	29.79	72.34	0.14	0.40	3.00	51.85	30.16	74.07	0.30	0.39	3.00	55.56	31.75	82.01	0.69	0.33	3.00	69.85	49.25	94.47	0.16	0.32	4.00	51.46	32.52	69.42	0.36	0.31	4.00	56.31	41.26	74.27	0.15	0.28	5.00	49.76	34.30	64.25	0.34	0.27	5.00	55.07	39.61	73.43	0.52	0.27	5.00	62.50	47.12	80.29	0.49	0.27	5.00	62.56	45.97	81.04	-0.09	0.27	5.00	42.18	26.54	56.40	-0.09	0.26	5.00	42.18	29.86	58.29	0.07	0.23	7.00	47.87	36.97	60.66	0.01	0.23	7.00	46.45	35.55	60.19	0.18	0.20	7.00	52.86	39.52	62.38	0.11	0.21	7.00	51.90	38.57	60.48	0.14	0.21	7.00	50.95	37.62	62.38	-0.05	0.22	7.00	43.33	30.48	56.67	0.36	0.22	7.00	58.57	46.19	70.00	0.29	0.23	7.00	56.67	44.29	68.57
Belize	BLZ	0.56	0.48	2.00	64.36	38.30	94.15	0.60	0.44	2.00	67.02	40.43	93.09	0.18	0.46	2.00	53.44	28.57	78.84	0.42	0.44	2.00	62.43	33.33	86.77	0.49	0.35	2.00	62.81	40.20	84.42	0.40	0.33	3.00	60.19	39.81	78.64	0.10	0.33	3.00	49.03	33.50	66.02	0.08	0.29	4.00	48.79	31.40	63.29	0.19	0.28	4.00	49.76	35.75	69.08	0.19	0.29	4.00	50.96	35.10	69.23	0.03	0.29	4.00	45.02	30.33	63.03	0.07	0.28	4.00	49.29	32.23	64.45	0.15	0.27	5.00	51.66	36.49	63.98	0.18	0.25	4.00	52.13	37.91	64.93	0.18	0.26	4.00	53.55	37.44	65.40	0.05	0.21	5.00	48.10	35.24	59.05	0.04	0.22	5.00	49.05	34.76	59.05	0.06	0.22	5.00	48.57	34.29	61.43	0.04	0.23	5.00	47.14	32.38	61.90	0.01	0.23	5.00	46.67	32.86	59.05	0.07	0.25	5.00	50.00	34.76	60.95
Bermuda	BMU	0.72	0.61	1.00	70.74	37.23	100.00	0.73	0.58	1.00	72.34	35.64	100.00	0.71	0.60	1.00	72.49	35.45	98.94	0.79	0.52	1.00	73.02	44.97	99.47	0.85	0.41	1.00	73.87	49.75	98.99	0.89	0.37	2.00	77.67	54.85	99.03	0.82	0.37	2.00	71.84	54.37	99.03	0.78	0.36	2.00	70.05	51.21	98.55	0.77	0.33	2.00	72.95	50.72	96.62	0.80	0.33	2.00	73.08	52.88	98.56	0.69	0.35	2.00	70.62	47.87	92.89	0.91	0.35	2.00	79.62	55.45	99.05	0.96	0.34	2.00	80.09	60.66	99.05	0.98	0.30	2.00	81.52	62.09	98.58	0.97	0.32	2.00	81.04	61.61	99.05	0.91	0.26	2.00	77.62	61.90	97.14	0.98	0.27	2.00	83.33	61.43	97.62	1.00	0.28	2.00	85.24	64.29	98.10	1.00	0.29	2.00	84.76	64.76	97.62	1.16	0.28	2.00	90.95	69.05	99.52	1.08	0.31	2.00	88.10	66.19	98.10
Bolivia	BOL	-0.13	0.37	4.00	43.09	22.87	61.70	-0.24	0.35	4.00	35.64	19.15	58.51	-0.24	0.34	4.00	37.04	21.16	59.79	-0.29	0.30	5.00	34.92	21.69	51.85	-0.83	0.29	5.00	22.61	11.06	35.18	-0.68	0.29	6.00	23.79	15.05	38.35	-0.97	0.28	6.00	19.42	8.74	29.13	-0.80	0.25	7.00	22.71	13.53	31.40	-0.85	0.24	7.00	19.32	11.11	29.47	-0.70	0.25	7.00	23.56	14.42	35.10	-0.51	0.25	7.00	27.49	18.96	41.23	-0.42	0.24	7.00	32.23	21.33	45.02	-0.42	0.24	8.00	33.18	20.38	46.45	-0.46	0.22	8.00	33.18	20.38	41.23	-0.33	0.23	8.00	36.49	23.22	46.92	-0.33	0.20	8.00	33.33	23.81	45.24	-0.27	0.20	8.00	36.67	25.71	49.52	-0.25	0.21	8.00	36.67	24.76	49.05	-0.28	0.22	7.00	34.29	24.29	49.05	-0.28	0.22	7.00	37.14	22.86	50.48	-0.62	0.23	7.00	23.33	13.81	38.57
Brazil	BRA	-0.22	0.37	4.00	38.83	20.74	60.11	-0.34	0.35	4.00	34.04	18.62	54.79	0.19	0.31	5.00	53.97	33.86	70.90	0.33	0.29	6.00	57.14	42.33	73.02	0.01	0.28	6.00	41.71	30.15	60.30	-0.28	0.28	7.00	36.41	22.33	52.43	-0.26	0.27	7.00	37.86	25.73	52.43	-0.29	0.25	8.00	35.27	25.12	48.79	-0.36	0.24	8.00	32.85	22.22	43.00	-0.31	0.24	8.00	33.65	23.08	47.12	0.17	0.24	8.00	51.18	37.44	63.98	0.01	0.24	8.00	45.97	33.18	59.72	-0.13	0.24	9.00	41.23	29.86	54.98	0.05	0.22	9.00	46.45	36.97	59.72	-0.26	0.23	9.00	36.97	25.12	50.24	-0.07	0.19	9.00	42.86	30.00	55.24	-0.33	0.20	9.00	34.29	22.38	45.24	-0.38	0.20	9.00	31.90	21.43	45.24	-0.42	0.21	9.00	30.48	17.62	41.90	-0.39	0.21	9.00	32.38	20.00	44.76	-0.55	0.23	8.00	24.76	14.76	41.43
Barbados	BRB	1.05	0.48	2.00	84.57	56.91	100.00	1.08	0.44	2.00	84.57	60.11	100.00	1.15	0.46	2.00	85.19	62.43	100.00	1.10	0.44	2.00	85.71	59.79	100.00	0.92	0.35	2.00	78.89	58.29	98.49	1.10	0.33	3.00	85.92	63.11	100.00	1.12	0.33	3.00	86.89	64.56	100.00	0.91	0.32	4.00	77.29	56.52	99.03	1.04	0.30	4.00	85.02	63.29	100.00	1.07	0.30	4.00	86.54	66.35	100.00	1.05	0.28	5.00	85.78	65.40	99.05	1.06	0.27	5.00	87.20	66.82	99.05	1.25	0.27	5.00	93.36	70.62	99.53	1.19	0.25	5.00	91.00	72.04	99.53	1.27	0.25	5.00	92.42	72.51	99.53	1.28	0.21	5.00	95.71	78.10	99.52	1.14	0.22	5.00	90.00	70.95	98.57	0.98	0.22	6.00	81.90	66.19	95.71	0.97	0.23	5.00	80.95	65.24	96.19	0.92	0.23	5.00	81.43	64.76	94.29	0.94	0.25	5.00	80.00	65.71	94.76
Brunei Darussalam	BRN	1.24	0.42	3.00	90.43	63.30	100.00	1.11	0.38	3.00	87.77	63.30	100.00	1.30	0.40	3.00	92.59	70.37	100.00	1.16	0.39	3.00	87.30	65.61	100.00	1.15	0.33	3.00	86.93	65.83	100.00	1.37	0.35	3.00	97.57	74.27	100.00	1.21	0.35	3.00	91.26	66.02	100.00	1.12	0.36	3.00	89.86	62.80	100.00	1.11	0.32	3.00	90.82	65.70	100.00	1.13	0.28	5.00	89.90	69.23	100.00	1.39	0.27	6.00	97.16	82.46	100.00	1.28	0.26	6.00	93.36	75.83	100.00	1.09	0.25	6.00	86.73	68.25	99.05	0.91	0.24	6.00	75.36	63.03	94.79	1.07	0.24	6.00	87.20	67.77	98.58	1.26	0.21	5.00	94.76	77.62	99.52	1.24	0.22	5.00	93.81	76.19	99.52	1.15	0.21	7.00	91.43	73.33	99.05	1.16	0.22	7.00	90.00	74.29	98.10	1.25	0.22	7.00	92.38	79.52	99.05	1.17	0.24	6.00	91.90	71.90	97.62
Bhutan	BTN	0.72	0.48	2.00	71.28	45.74	99.47	0.54	0.44	2.00	65.43	36.70	93.09	0.49	0.46	2.00	68.25	35.45	90.48	0.69	0.44	2.00	69.84	46.03	94.71	0.92	0.35	2.00	78.89	58.29	98.49	1.17	0.33	3.00	91.26	66.50	100.00	1.28	0.33	3.00	92.23	67.48	100.00	1.26	0.33	3.00	94.69	68.12	100.00	0.57	0.31	3.00	65.70	44.93	85.51	0.72	0.31	3.00	70.19	52.88	94.71	0.80	0.29	4.00	73.93	53.55	93.36	0.74	0.28	4.00	71.56	54.03	90.52	0.83	0.27	4.00	71.09	59.24	93.36	0.78	0.25	4.00	71.56	57.82	91.47	0.78	0.25	5.00	70.14	60.19	91.47	1.07	0.21	5.00	88.57	69.52	98.10	0.97	0.22	5.00	81.90	65.24	96.19	1.12	0.23	5.00	90.95	72.38	98.57	1.12	0.24	5.00	89.05	70.95	98.10	1.10	0.24	4.00	88.57	69.52	98.10	1.09	0.25	4.00	89.52	68.57	97.14
South Sudan	SSD	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-1.43	0.42	2.00	7.11	2.37	23.22	-1.16	0.39	3.00	14.22	5.21	29.86	-1.73	0.37	3.00	5.69	1.90	14.69	-2.65	0.23	4.00	1.43	0.00	4.29	-2.38	0.24	4.00	2.38	0.00	4.76	-2.42	0.25	4.00	1.90	0.00	4.29	-2.45	0.26	4.00	1.43	0.00	3.81	-2.43	0.25	4.00	2.38	0.00	5.24	-2.56	0.28	4.00	2.38	0.00	4.29
Botswana	BWA	1.01	0.37	4.00	79.79	60.11	100.00	0.96	0.35	4.00	80.32	60.64	99.47	1.07	0.34	4.00	82.01	68.25	98.94	0.87	0.30	5.00	76.19	59.79	94.71	1.11	0.29	5.00	85.43	66.33	99.50	0.92	0.31	5.00	78.16	60.68	98.06	1.06	0.28	6.00	83.01	65.53	99.51	1.02	0.25	7.00	81.64	64.25	99.03	1.06	0.24	7.00	85.51	69.08	98.55	1.03	0.25	7.00	84.62	68.27	99.04	0.95	0.25	7.00	82.94	63.98	94.79	0.99	0.24	7.00	83.41	65.88	95.73	1.06	0.24	7.00	85.31	68.25	98.10	1.10	0.22	8.00	88.63	69.67	98.58	1.10	0.23	8.00	88.15	67.77	98.58	1.01	0.20	8.00	84.29	69.05	97.14	1.04	0.20	8.00	87.62	68.57	96.67	0.99	0.21	7.00	83.33	66.67	95.71	1.02	0.22	7.00	86.19	69.52	96.19	0.98	0.22	7.00	82.86	66.19	94.29	1.01	0.24	6.00	84.29	67.62	96.19
Central African Republic	CAF	-1.21	0.48	2.00	11.70	3.72	31.91	-1.14	0.44	2.00	13.83	5.32	30.32	-1.12	0.46	2.00	15.34	5.29	32.80	-1.73	0.44	2.00	4.23	0.00	19.05	-1.54	0.35	2.00	8.04	2.51	20.10	-1.42	0.33	3.00	8.74	3.88	18.93	-1.43	0.33	3.00	9.22	2.91	21.36	-1.85	0.33	3.00	5.31	0.48	12.56	-1.85	0.31	3.00	5.80	1.93	10.14	-1.84	0.31	3.00	6.25	1.92	10.58	-1.91	0.27	5.00	4.74	1.42	9.00	-2.02	0.26	5.00	3.79	1.42	7.11	-1.79	0.26	5.00	5.21	1.90	9.95	-1.85	0.24	5.00	5.21	2.37	7.11	-2.15	0.25	5.00	3.32	0.95	5.21	-2.70	0.21	5.00	0.48	0.00	4.29	-1.90	0.22	5.00	6.67	2.38	7.62	-1.79	0.23	5.00	7.14	4.29	9.05	-2.01	0.23	5.00	4.76	1.90	8.57	-2.17	0.23	5.00	3.81	0.95	6.67	-2.18	0.25	5.00	3.81	0.95	5.71
Canada	CAN	1.23	0.37	4.00	89.89	67.55	100.00	0.95	0.35	4.00	79.26	60.64	99.47	1.17	0.31	5.00	87.30	70.37	98.94	1.22	0.29	6.00	89.95	71.43	99.47	1.05	0.28	6.00	84.42	65.33	98.99	0.88	0.28	7.00	76.21	60.68	95.63	0.83	0.27	7.00	72.82	57.28	91.75	1.04	0.25	8.00	82.61	64.73	99.03	1.01	0.24	8.00	82.13	67.15	98.55	1.04	0.24	8.00	85.10	69.23	99.04	1.13	0.24	8.00	89.10	72.04	99.53	0.94	0.24	8.00	81.04	64.45	94.79	1.08	0.24	9.00	86.26	68.72	98.10	1.11	0.22	9.00	89.10	70.14	98.58	1.06	0.23	9.00	86.73	67.77	98.10	1.18	0.19	9.00	92.86	76.67	99.52	1.27	0.20	9.00	95.24	80.95	99.52	1.26	0.20	9.00	93.81	78.57	99.52	1.10	0.21	9.00	88.10	71.90	97.62	0.99	0.21	9.00	84.29	66.67	94.29	1.03	0.23	8.00	85.24	68.57	96.19
Switzerland	CHE	1.46	0.37	4.00	99.47	73.94	100.00	1.44	0.35	4.00	98.40	76.06	100.00	1.58	0.31	5.00	97.35	81.48	100.00	1.54	0.29	6.00	97.35	84.13	100.00	1.25	0.28	6.00	94.97	71.86	100.00	1.23	0.28	7.00	93.20	73.30	100.00	1.20	0.27	7.00	90.78	68.93	100.00	1.27	0.27	7.00	95.17	72.46	100.00	1.23	0.26	7.00	94.20	75.85	100.00	1.22	0.26	7.00	94.71	73.08	100.00	1.31	0.24	8.00	94.79	79.15	100.00	1.26	0.24	8.00	92.42	76.78	100.00	1.30	0.24	8.00	94.31	72.99	99.53	1.42	0.22	8.00	98.58	86.26	99.53	1.40	0.23	8.00	98.10	82.94	99.53	1.40	0.20	8.00	98.10	89.05	99.52	1.34	0.20	8.00	96.67	86.19	99.52	1.31	0.21	8.00	94.76	80.00	99.52	1.26	0.22	8.00	94.29	79.52	98.57	1.34	0.22	8.00	95.24	84.29	99.52	1.34	0.23	7.00	94.76	80.48	99.52
Chile	CHL	0.68	0.37	4.00	68.62	49.47	92.02	0.04	0.35	4.00	46.81	29.26	67.55	0.49	0.31	5.00	66.14	42.86	80.42	1.09	0.29	6.00	84.66	68.25	97.35	0.76	0.28	6.00	71.86	54.77	94.47	0.69	0.28	7.00	70.87	53.40	89.81	0.84	0.27	7.00	74.27	57.28	93.20	0.61	0.25	8.00	64.73	52.17	81.64	0.41	0.24	8.00	58.94	43.00	74.88	0.43	0.24	8.00	58.65	44.71	75.00	0.60	0.24	8.00	66.82	51.18	84.83	0.68	0.24	8.00	68.25	54.03	87.20	0.45	0.24	9.00	62.09	48.82	71.56	0.33	0.22	9.00	57.82	42.65	69.19	0.36	0.23	9.00	59.72	45.50	67.77	0.45	0.19	9.00	60.00	50.48	70.95	0.43	0.20	9.00	60.00	51.43	70.00	0.41	0.20	9.00	60.48	48.57	71.90	0.42	0.21	9.00	61.90	48.57	71.90	0.44	0.21	9.00	60.95	50.48	71.43	0.21	0.23	8.00	54.76	41.43	66.19
China	CHN	-0.10	0.37	4.00	44.15	22.87	62.23	-0.39	0.35	4.00	32.98	17.55	52.13	-0.21	0.31	5.00	38.62	24.87	58.73	-0.33	0.29	6.00	32.28	21.69	49.21	-0.56	0.28	6.00	28.64	19.10	40.20	-0.39	0.28	7.00	31.55	19.90	47.57	-0.50	0.27	7.00	30.10	19.42	43.69	-0.54	0.25	8.00	28.02	17.87	41.06	-0.50	0.24	8.00	28.02	18.36	39.61	-0.49	0.24	8.00	29.33	17.31	40.38	-0.45	0.24	8.00	30.81	19.91	41.71	-0.66	0.24	8.00	25.59	14.22	36.02	-0.60	0.24	9.00	27.96	17.06	39.34	-0.54	0.22	9.00	27.96	19.43	39.81	-0.54	0.23	9.00	26.54	18.01	39.81	-0.52	0.19	9.00	28.57	18.57	36.67	-0.55	0.20	9.00	26.19	19.05	38.57	-0.50	0.20	9.00	26.67	17.14	39.05	-0.23	0.21	9.00	38.57	25.71	50.95	-0.29	0.21	9.00	36.19	22.86	49.52	-0.24	0.23	8.00	38.10	23.33	53.81
Côte d'Ivoire	CIV	0.03	0.37	4.00	48.94	26.06	68.09	-0.20	0.35	4.00	36.17	19.68	60.11	-1.24	0.34	4.00	13.23	5.29	25.93	-1.92	0.32	4.00	3.17	0.00	12.70	-1.80	0.30	4.00	5.03	1.01	11.06	-2.12	0.29	5.00	3.40	0.49	5.34	-2.26	0.29	5.00	0.97	0.00	4.85	-1.87	0.26	6.00	4.83	0.48	8.70	-1.84	0.25	6.00	6.28	2.42	9.18	-1.81	0.25	7.00	7.21	1.92	9.62	-1.32	0.25	7.00	11.37	6.16	18.96	-1.58	0.24	7.00	8.06	3.79	12.32	-1.41	0.24	7.00	8.53	4.74	16.59	-1.26	0.22	8.00	11.85	6.16	19.43	-1.05	0.23	8.00	17.06	7.58	23.22	-1.04	0.20	8.00	13.33	8.10	21.43	-0.83	0.20	8.00	20.00	10.00	28.10	-0.91	0.21	8.00	15.71	10.95	24.76	-1.09	0.22	7.00	12.86	8.57	19.52	-0.89	0.22	7.00	15.71	11.43	28.10	-0.96	0.23	7.00	14.29	9.52	23.33
Cameroon	CMR	-0.96	0.37	4.00	19.68	6.91	34.57	-0.78	0.35	4.00	19.68	10.64	35.64	-0.56	0.34	4.00	29.10	14.81	43.39	-0.68	0.32	4.00	26.46	15.87	41.80	-0.43	0.29	5.00	31.16	21.61	43.22	-0.36	0.29	5.00	32.52	20.39	48.54	-0.18	0.28	6.00	40.29	26.21	55.34	-0.25	0.25	7.00	39.13	26.09	51.21	-0.33	0.24	7.00	34.30	23.67	44.93	-0.55	0.25	7.00	26.92	15.87	39.42	-0.47	0.25	7.00	29.86	19.91	41.71	-0.74	0.24	7.00	22.75	13.27	33.18	-0.66	0.24	8.00	26.54	15.64	38.39	-0.59	0.22	8.00	26.54	18.01	38.39	-0.53	0.23	8.00	27.49	18.48	40.76	-1.06	0.20	8.00	12.38	8.10	20.95	-0.99	0.20	8.00	15.24	9.05	22.38	-1.06	0.21	8.00	13.33	9.05	20.95	-1.10	0.22	8.00	12.38	8.57	19.05	-1.39	0.21	8.00	8.57	6.67	13.33	-1.56	0.23	7.00	8.10	4.76	11.90
Congo. Rep.	COG	-1.22	0.42	3.00	11.17	3.72	27.13	-1.50	0.38	3.00	9.57	3.72	18.62	-0.92	0.40	3.00	19.58	8.47	35.45	-1.58	0.39	3.00	8.47	0.53	20.11	-1.17	0.33	3.00	15.08	5.53	27.64	-1.19	0.32	4.00	14.08	4.85	24.27	-1.17	0.29	5.00	15.05	6.31	25.73	-0.92	0.28	5.00	18.84	11.59	30.43	-0.77	0.27	5.00	21.26	12.56	33.82	-0.72	0.27	5.00	21.63	13.46	35.10	-0.25	0.25	6.00	36.49	24.17	50.71	-0.32	0.25	6.00	34.12	23.22	50.24	-0.35	0.25	6.00	35.07	21.33	48.82	-0.49	0.23	6.00	31.28	19.91	40.76	-0.48	0.24	6.00	29.86	19.43	42.65	-0.36	0.21	6.00	30.95	22.86	44.29	-0.53	0.21	6.00	26.67	19.05	40.48	-0.52	0.22	6.00	25.71	16.19	39.05	-0.53	0.22	6.00	27.62	16.19	39.52	-0.34	0.22	6.00	33.81	20.48	47.62	-0.89	0.24	6.00	16.19	10.48	27.62
Cook Islands	COK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1.14	0.72	1.00	90.05	42.65	100.00	1.32	0.61	1.00	94.79	54.50	100.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Colombia	COL	-1.64	0.37	4.00	6.91	2.13	17.02	-1.79	0.35	4.00	6.38	0.53	12.23	-1.60	0.31	5.00	8.47	1.06	15.87	-1.95	0.29	6.00	2.65	0.00	10.58	-2.37	0.28	6.00	1.01	0.00	4.02	-2.27	0.28	7.00	2.43	0.49	4.37	-2.06	0.27	7.00	2.91	0.49	6.31	-1.90	0.25	8.00	3.86	0.48	8.70	-1.80	0.24	8.00	7.25	2.42	9.18	-1.85	0.24	8.00	5.77	1.92	9.62	-1.83	0.24	8.00	5.21	1.90	9.00	-1.54	0.24	8.00	8.53	4.27	13.27	-1.28	0.24	9.00	12.32	5.21	19.43	-1.40	0.22	9.00	8.06	5.21	16.59	-1.29	0.23	9.00	10.43	6.64	18.01	-1.11	0.19	9.00	10.95	8.10	19.52	-1.07	0.20	9.00	12.86	9.05	21.43	-0.88	0.20	9.00	16.19	10.95	24.76	-0.77	0.21	9.00	17.62	11.90	30.00	-0.79	0.21	9.00	19.52	12.38	29.05	-0.90	0.23	8.00	15.71	10.95	27.14
Comoros	COM	0.51	0.48	2.00	62.23	37.23	90.43	0.56	0.44	2.00	65.96	38.30	93.09	0.02	0.46	2.00	45.50	24.34	73.54	0.40	0.44	2.00	60.85	32.28	86.77	-0.67	0.35	2.00	26.63	13.57	40.20	-0.16	0.37	2.00	39.32	22.33	61.65	-0.44	0.39	2.00	33.98	16.99	53.40	-0.36	0.38	2.00	32.85	17.39	53.62	-1.09	0.35	2.00	15.94	7.73	27.05	-1.11	0.35	2.00	14.42	8.65	27.88	-0.77	0.32	3.00	20.85	11.37	36.49	-0.56	0.32	3.00	26.54	13.74	44.55	-0.55	0.36	2.00	29.38	13.74	48.82	-0.45	0.28	3.00	33.65	18.48	45.02	-0.26	0.30	3.00	37.44	21.80	55.45	-0.19	0.24	3.00	37.62	25.71	53.81	-0.23	0.25	3.00	37.62	22.86	53.81	0.04	0.25	4.00	48.10	31.90	61.90	0.04	0.26	4.00	47.62	30.48	62.86	-0.34	0.25	4.00	34.76	19.52	50.48	-0.15	0.28	4.00	41.90	23.33	58.10
Cape Verde	CPV	1.03	0.62	1.00	82.45	47.87	100.00	1.11	0.56	1.00	87.23	52.13	100.00	1.22	0.59	1.00	90.48	57.14	100.00	0.73	0.44	2.00	70.90	47.09	95.24	0.92	0.35	2.00	78.89	58.29	98.49	1.04	0.37	2.00	83.01	61.65	100.00	0.75	0.39	2.00	68.93	50.00	99.03	0.96	0.32	3.00	79.71	59.42	99.52	0.88	0.31	3.00	77.78	56.52	98.55	0.81	0.32	3.00	74.52	55.29	96.15	0.82	0.29	4.00	74.88	54.03	94.31	0.84	0.27	5.00	75.36	57.82	93.84	0.72	0.30	4.00	69.19	54.50	91.94	0.81	0.25	5.00	72.99	59.72	91.94	0.78	0.25	5.00	69.67	59.72	91.47	0.35	0.23	4.00	58.57	44.29	69.52	0.87	0.22	5.00	74.29	60.95	93.33	0.89	0.23	5.00	76.19	63.81	93.81	0.77	0.24	5.00	72.38	60.48	90.00	0.85	0.23	5.00	74.76	61.90	91.90	0.88	0.25	4.00	78.10	60.95	94.29
Costa Rica	CRI	0.75	0.37	4.00	72.34	52.13	95.21	0.90	0.35	4.00	77.66	58.51	98.40	0.87	0.34	4.00	76.72	58.73	95.24	1.07	0.30	5.00	83.60	68.25	97.35	0.60	0.29	5.00	65.83	47.74	84.92	0.63	0.29	6.00	66.99	51.46	85.92	0.71	0.28	6.00	67.48	55.34	88.83	0.74	0.27	6.00	69.08	54.11	90.82	0.58	0.26	6.00	66.67	47.83	82.61	0.36	0.26	6.00	55.77	41.35	72.60	0.59	0.27	6.00	65.88	50.24	85.31	0.69	0.26	6.00	70.14	53.55	88.15	0.51	0.25	6.00	63.03	49.29	73.93	0.64	0.23	7.00	67.77	54.98	83.41	0.68	0.23	7.00	67.77	57.35	86.26	0.58	0.20	8.00	65.24	56.19	76.67	0.68	0.20	8.00	67.62	58.10	86.19	0.66	0.21	8.00	67.62	57.62	85.24	0.61	0.22	8.00	66.19	54.76	80.48	0.48	0.21	8.00	62.86	53.33	72.38	0.46	0.23	7.00	60.48	50.00	75.24
Cuba	CUB	0.23	0.37	4.00	54.79	31.91	73.94	0.01	0.35	4.00	45.21	27.66	65.96	0.25	0.34	4.00	56.61	34.39	75.13	0.26	0.32	4.00	52.91	37.04	71.43	0.32	0.30	4.00	56.78	38.69	71.86	0.36	0.29	5.00	57.77	40.29	75.24	0.42	0.29	5.00	58.74	43.69	76.70	0.47	0.26	6.00	60.39	47.83	74.88	0.45	0.25	6.00	60.87	43.00	77.29	0.52	0.25	6.00	63.46	48.56	79.33	0.36	0.25	6.00	56.40	41.71	72.04	0.35	0.25	6.00	56.87	43.60	71.56	0.28	0.25	6.00	55.45	41.23	68.72	0.31	0.23	6.00	57.35	41.71	69.19	0.37	0.24	6.00	60.19	45.50	69.19	0.54	0.21	6.00	63.33	53.81	76.67	0.64	0.21	6.00	66.19	57.62	83.33	0.69	0.22	6.00	70.00	57.62	88.57	0.65	0.22	6.00	68.10	55.24	85.71	0.66	0.22	6.00	67.62	56.67	85.71	0.61	0.24	6.00	67.62	54.76	83.33
Cayman Islands	CYM	0.72	0.61	1.00	70.74	37.23	100.00	0.73	0.58	1.00	72.34	35.64	100.00	0.71	0.60	1.00	72.49	35.45	98.94	0.79	0.52	1.00	73.02	44.97	99.47	0.85	0.41	1.00	73.87	49.75	98.99	1.24	0.37	2.00	93.69	66.02	100.00	1.19	0.37	2.00	90.29	65.05	100.00	1.11	0.36	2.00	89.37	60.87	100.00	1.09	0.33	2.00	89.37	63.29	100.00	1.12	0.33	2.00	89.42	65.38	100.00	1.09	0.31	3.00	88.15	65.40	100.00	1.15	0.30	3.00	88.63	67.30	99.53	1.34	0.29	3.00	96.68	72.51	99.53	0.96	0.30	2.00	79.15	62.09	98.58	1.02	0.32	2.00	82.46	63.51	99.53	1.05	0.26	2.00	86.67	67.14	99.52	1.15	0.26	2.00	90.95	69.05	99.52	1.17	0.27	2.00	91.90	70.95	99.52	1.19	0.30	2.00	91.90	70.95	99.52	1.15	0.28	2.00	90.00	68.10	99.05	1.45	0.27	3.00	96.67	83.33	99.52
Cyprus	CYP	0.39	0.37	4.00	60.11	38.30	78.72	0.22	0.35	4.00	54.79	33.51	73.94	0.52	0.34	4.00	68.78	42.33	82.01	0.19	0.32	4.00	51.85	32.28	70.37	0.53	0.30	4.00	63.82	42.21	82.41	0.38	0.29	6.00	59.22	41.26	75.73	0.52	0.28	6.00	64.08	47.57	78.64	0.54	0.27	6.00	62.80	48.79	80.68	0.54	0.26	6.00	63.29	46.86	79.71	0.64	0.26	6.00	68.75	51.92	86.54	0.39	0.25	7.00	57.82	43.13	73.46	0.45	0.24	7.00	61.61	47.87	75.83	0.61	0.24	7.00	66.82	54.50	81.99	0.64	0.23	7.00	66.82	54.98	83.41	0.56	0.23	7.00	64.93	54.50	77.73	0.55	0.20	7.00	63.81	54.76	76.67	0.55	0.21	7.00	62.86	54.29	76.19	0.60	0.21	7.00	66.19	55.24	80.00	0.54	0.22	8.00	65.24	53.33	79.52	0.50	0.22	8.00	63.33	53.33	74.29	0.52	0.23	7.00	63.33	53.81	78.10
