COD;COUNTRY;YEAR;IDH;IDHr;INBpc;CONTCORR;EGOB;ESTPOL;CALIREG;RJUE;VOZYREND;GasSocial;IDEM;IPC;ILIB;IGINIGM;IGINICEPAL
PAR;Paraguay;2013;0.709;0.715;3874;-1.04;-0.87;-0.74;-0.31;-0.81;-0.10;8.2;62.6;24.000;3;49.2;0.495
PAR;Paraguay;2014;0.712;0.717;4325;-0.97;-0.92;-0.09;-0.28;-0.67;-0.10;8.4;62.6;24.000;3;48.4;0.522
PAR;Paraguay;2015;0.718;0.724;4512;-0.95;-0.95;0.04;-0.27;-0.69;-0.07;8.8;63.3;27.000;3;48.4;0.494
PAR;Paraguay;2016;0.718;0.723;4414;-0.71;-0.79;0.14;-0.30;-0.73;-0.06;8.5;62.7;30.000;3;48.4;0.497
PAR;Paraguay;2017;0.722;0.726;4267;-0.73;-0.82;0.00;-0.23;-0.65;-0.04;8.6;63.1;29.000;3;47.8;0.503
PAR;Paraguay;2018;0.724;0.727;4152;-0.84;-0.52;-0.07;-0.08;-0.52;0.06;8.6;62.4;29.000;3;47.9;0.474
PER;Peru;2007;0.705;0.727;8675;-0.25;-0.52;-0.77;0.28;-0.73;0.11;8.9;62.1;35.000;2.5;49.4;0.518
PER;Peru;2008;0.715;0.735;9220;-0.19;-0.36;-0.89;0.35;-0.70;0.15;9.3;63.1;36.000;2.5;48.4;0.495
PER;Peru;2009;0.718;0.739;9035;-0.31;-0.42;-1.18;0.39;-0.61;0.08;10.2;63.55;37.000;2.5;47.2;0.488
PER;Peru;2010;0.721;0.739;9905;-0.23;-0.19;-1.00;0.45;-0.56;0.11;9.5;64;35.000;2.5;46.1;0.471
PER;Peru;2011;0.734;0.756;10324;-0.22;-0.16;-0.76;0.46;-0.58;0.13;9.0;65.9;33.9;2.5;45.3;0.463
PER;Peru;2012;0.734;0.751;10044;-0.37;-0.14;-0.91;0.49;-0.57;0.11;9.4;64.7;38.000;2.5;44.6;0.457
PER;Peru;2013;0.742;0.757;10777;-0.42;-0.11;-0.81;0.46;-0.57;0.08;10.3;65.4;38.000;2.5;44.1;0.453
PER;Peru;2014;0.752;0.771;11188;-0.56;-0.27;-0.55;0.52;-0.52;0.19;11.1;65.4;38.000;2.5;43.9;0.446
PER;Peru;2015;0.75;0.766;11371;-0.53;-0.28;-0.40;0.49;-0.49;0.23;11.0;65.8;36.000;2.5;43.7;0.449
PER;Peru;2016;0.755;0.772;11668;-0.37;-0.18;-0.20;0.51;-0.48;0.27;10.4;66.5;35.000;2.5;43.6;0.452
PER;Peru;2017;0.756;0.774;12205;-0.50;-0.13;-0.26;0.42;-0.50;0.27;11.4;64.9;37.000;2.5;43.7;0.448
PER;Peru;2018;0.759;0.775;12420;-0.53;-0.25;-0.26;0.50;-0.53;0.23;11.1;66;35.000;2.5;43.8;0.439
URY;Uruguay;2007;0.763;0.770;44116;1.24;0.53;0.84;0.28;0.60;1.05;11.7;80.2;67.000;1;45.8;0.468
URY;Uruguay;2008;0.767;0.773;43454;1.31;0.50;0.85;0.26;0.60;1.06;12.2;80.8;69.000;1;45.5;0.453
URY;Uruguay;2009;0.779;0.788;41367;1.24;0.60;0.79;0.38;0.72;1.11;12.7;80.9;67.000;1;44.8;0.447
URY;Uruguay;2010;0.774;0.774;42183;1.28;0.63;0.82;0.39;0.74;1.15;12.7;81;69.000;1;43.5;0.438
URY;Uruguay;2011;0.783;0.784;42635;1.28;0.55;0.96;0.44;0.70;1.12;13.4;81.7;70.4;1;42.6;0.413
URY;Uruguay;2012;0.788;0.793;42362;1.36;0.44;0.71;0.44;0.59;1.06;13.8;81.7;72.000;1;41.5;0.391
URY;Uruguay;2013;0.797;0.802;42547;1.38;0.45;0.80;0.54;0.56;1.09;14.2;81.7;73.000;1;40.6;0.397
URY;Uruguay;2014;0.8;0.805;43330;1.38;0.48;0.99;0.53;0.71;1.11;14.3;81.7;73.000;1;40.1;0.392
URY;Uruguay;2015;0.802;0.807;43885;1.32;0.53;1.00;0.42;0.71;1.14;14.9;81.7;74.000;1;40.1;0.392
URY;Uruguay;2016;0.806;0.812;44335;1.27;0.57;1.06;0.49;0.63;1.16;15.9;81.7;71.000;1;39.9;0.391
URY;Uruguay;2017;0.807;0.813;45427;1.29;0.43;1.05;0.66;0.59;1.17;16.8;81.2;70.000;1;39.8;0.390
URY;Uruguay;2018;0.808;0.814;45686;1.26;0.56;1.04;0.51;0.59;1.21;17.2;83.8;70.000;1;39.7;0.391
VEN;Venezuela (Bolivarian Republic of);2007;0.743;0.724;3912;-1.11;-1.09;-1.23;-1.44;-1.57;-0.75;12.8;53.8;20.000;4;48.00;0.391
VEN;Venezuela (Bolivarian Republic of);2008;0.753;0.735;4045;-1.17;-1.14;-1.31;-1.39;-1.62;-0.75;13.1;53.4;19.000;4;46.9;0.379
VEN;Venezuela (Bolivarian Republic of);2009;0.752;0.738;4292;-1.19;-0.99;-1.28;-1.59;-1.62;-0.85;13.0;52.6;19.000;4.5;46.9;0.381
VEN;Venezuela (Bolivarian Republic of);2010;0.753;0.742;4715;-1.23;-1.11;-1.26;-1.62;-1.65;-0.87;11.6;51.8;20.000;5;46.9;0.364
VEN;Venezuela (Bolivarian Republic of);2011;0.764;0.759;5032;-1.17;-1.19;-1.09;-1.48;-1.68;-0.93;13.4;50.8;18.9;5;46.9;0.368
VEN;Venezuela (Bolivarian Republic of);2012;0.767;0.760;5341;-1.27;-1.15;-1.03;-1.52;-1.69;-0.91;14.4;51.5;19.000;5;46.9;0.384
VEN;Venezuela (Bolivarian Republic of);2013;0.772;0.768;5702;-1.31;-1.17;-1.08;-1.63;-1.82;-0.95;16.1;50.7;20.000;5;46.9;0.388
VEN;Venezuela (Bolivarian Republic of);2014;0.77;0.767;5970;-1.40;-1.23;-0.85;-1.82;-1.92;-1.08;18.8;50.7;19.000;5;46.9;0.378
VEN;Venezuela (Bolivarian Republic of);2015;0.763;0.765;6186;-1.39;-1.22;-0.98;-1.88;-2.03;-1.09;18.8;50;17.000;5;46.9;0.381
VEN;Venezuela (Bolivarian Republic of);2016;0.752;0.763;6415;-1.35;-1.29;-1.02;-2.00;-2.24;-1.14;18.8;46.8;17.000;5.5;46.9;0.380
VEN;Venezuela (Bolivarian Republic of);2017;0.735;0.750;6652;-1.36;-1.40;-1.25;-1.96;-2.26;-1.21;18.8;38.7;18.000;5.5;46.9;0.381
VEN;Venezuela (Bolivarian Republic of);2018;0.726;0.749;6894;-1.47;-1.58;-1.32;-2.36;-2.32;-1.41;18.8;31.6;18;6.5;46.9;0.377
