Belarus	BLR	-1.09	0.34	3.00	14.13	4.35	26.63	-1.77	0.30	5.00	5.18	0.52	8.81	-1.70	0.28	6.00	5.64	1.03	9.74	-1.53	0.23	7.00	5.10	2.04	12.24	-1.30	0.19	7.00	9.18	3.06	16.84	-1.22	0.19	7.00	10.34	4.93	17.73	-1.45	0.17	7.00	6.37	1.96	11.76	-1.62	0.19	8.00	3.43	2.45	8.82	-1.43	0.19	8.00	6.31	2.43	13.59	-1.24	0.19	8.00	9.22	3.40	16.99	-1.12	0.18	8.00	12.44	5.74	22.49	-1.13	0.18	8.00	12.44	5.74	22.49	-1.18	0.17	8.00	10.43	6.16	20.85	-1.07	0.17	10.00	13.74	8.06	24.17	-1.07	0.18	10.00	14.69	7.11	23.70	-1.01	0.18	10.00	15.38	7.69	26.92	-0.99	0.18	10.00	14.90	6.73	27.40	-0.94	0.18	9.00	16.35	8.17	26.92	-0.74	0.19	8.00	24.52	12.50	35.10	-0.65	0.19	8.00	25.96	13.46	37.98	-0.54	0.19	8.00	32.21	17.79	43.27
Belize	BLZ	0.14	0.36	2.00	61.41	30.43	72.28	0.14	0.35	3.00	57.51	31.61	73.58	0.02	0.32	3.00	54.87	31.28	68.72	0.02	0.30	3.00	54.08	35.20	67.35	0.12	0.24	3.00	58.16	44.90	67.86	-0.16	0.25	4.00	49.26	29.06	62.56	0.01	0.20	4.00	54.41	44.12	61.27	-0.34	0.23	5.00	42.16	22.55	54.90	-0.41	0.24	5.00	38.35	21.84	53.40	-0.44	0.23	5.00	37.38	20.39	52.43	-0.44	0.23	5.00	36.84	23.44	51.20	-0.41	0.23	5.00	37.32	23.44	51.67	-0.51	0.22	6.00	34.60	21.33	47.39	-0.47	0.23	5.00	34.60	21.80	49.76	-0.48	0.23	5.00	34.12	22.27	48.34	-0.50	0.23	5.00	33.17	20.19	49.52	-0.46	0.21	6.00	36.06	23.08	49.52	-0.51	0.22	6.00	31.25	18.27	48.56	-0.54	0.25	5.00	31.25	14.90	50.48	-0.65	0.26	5.00	27.40	12.02	43.75	-0.54	0.22	6.00	31.73	15.87	47.12
Bermuda	BMU	1.51	0.39	1.00	92.39	76.63	99.46	1.54	0.45	1.00	93.78	75.13	100.00	1.52	0.43	1.00	92.31	78.97	100.00	1.47	0.37	1.00	91.33	75.51	100.00	1.45	0.28	1.00	90.31	78.57	99.49	1.45	0.32	1.00	89.66	78.33	100.00	1.36	0.21	1.00	90.69	78.43	99.02	1.35	0.31	1.00	91.18	73.53	99.51	1.38	0.37	1.00	90.78	73.79	99.51	1.40	0.38	1.00	90.78	73.79	100.00	1.41	0.41	1.00	91.39	73.68	100.00	1.39	0.46	1.00	89.95	71.29	100.00	1.37	0.46	1.00	90.05	71.09	100.00	1.33	0.50	1.00	88.63	68.25	100.00	1.33	0.50	1.00	89.10	67.77	100.00	0.89	0.51	1.00	77.88	54.33	94.23	0.91	0.46	1.00	78.37	57.21	92.79	0.87	0.49	1.00	78.37	55.29	92.31	0.84	0.47	1.00	77.88	57.21	91.83	0.82	0.49	1.00	77.40	56.25	92.31	0.85	0.49	1.00	75.48	57.21	94.23
Bolivia	BOL	0.00	0.31	4.00	54.35	28.80	66.30	0.19	0.30	5.00	59.59	37.31	73.58	0.04	0.25	6.00	55.90	35.38	66.67	-0.06	0.21	7.00	52.55	38.27	61.73	-0.08	0.18	7.00	52.55	39.80	59.69	-0.20	0.18	8.00	47.78	33.00	57.64	-0.69	0.16	8.00	25.49	18.14	38.24	-0.89	0.19	9.00	19.61	12.25	28.92	-0.98	0.19	9.00	16.99	8.25	25.24	-0.87	0.19	9.00	18.93	12.14	31.07	-0.88	0.18	9.00	21.05	10.05	29.67	-0.80	0.17	9.00	23.44	13.88	33.49	-0.76	0.17	10.00	24.17	15.64	35.07	-0.82	0.18	10.00	22.75	11.85	32.23	-0.78	0.18	10.00	24.17	14.22	34.12	-0.87	0.19	10.00	20.67	10.10	31.25	-0.89	0.18	10.00	19.23	10.10	29.81	-0.92	0.19	10.00	17.31	9.13	27.88	-0.90	0.18	9.00	16.35	10.10	28.37	-0.91	0.18	9.00	15.38	8.65	29.81	-0.99	0.18	10.00	12.50	8.17	24.52
Brazil	BRA	0.30	0.28	6.00	63.04	49.46	72.28	0.36	0.26	7.00	65.80	50.78	75.13	0.36	0.22	7.00	65.13	53.85	74.87	0.30	0.20	8.00	62.24	53.57	70.41	0.31	0.17	8.00	63.78	54.59	67.86	0.03	0.18	9.00	55.17	46.31	64.53	0.04	0.16	9.00	55.39	47.55	61.27	-0.03	0.18	10.00	53.92	43.63	57.84	-0.03	0.18	10.00	53.40	41.75	59.71	0.05	0.18	10.00	54.37	46.60	63.11	0.10	0.17	10.00	54.55	47.37	63.16	0.15	0.17	10.00	55.02	48.80	64.11	0.17	0.16	11.00	55.92	50.71	64.45	0.09	0.18	11.00	55.45	45.50	63.03	0.07	0.17	11.00	54.50	45.50	62.56	-0.08	0.18	11.00	51.44	39.42	59.62	-0.19	0.17	11.00	48.08	35.58	55.29	-0.21	0.18	11.00	46.63	32.21	56.25	-0.11	0.19	10.00	51.44	35.10	61.54	-0.32	0.17	11.00	39.90	29.81	53.85	-0.18	0.17	11.00	48.08	34.62	59.62
Barbados	BRB	1.29	0.36	2.00	88.59	71.74	98.37	1.34	0.40	2.00	90.16	73.58	98.45	1.31	0.38	2.00	89.74	73.33	98.97	1.13	0.34	2.00	83.67	69.90	94.90	1.15	0.26	2.00	82.65	72.45	92.35	1.09	0.28	3.00	79.80	68.97	91.63	1.16	0.20	3.00	83.33	71.57	91.67	1.00	0.26	4.00	79.90	67.16	91.18	1.08	0.29	4.00	82.52	68.45	93.20	0.88	0.31	3.00	76.70	63.11	88.83	0.59	0.28	4.00	69.86	55.50	80.86	0.51	0.29	4.00	68.42	53.11	80.38	0.65	0.29	4.00	73.46	55.92	82.46	0.45	0.29	4.00	66.35	53.08	77.73	0.46	0.28	4.00	65.88	53.08	78.20	0.34	0.30	4.00	64.42	48.56	75.48	0.57	0.26	4.00	71.15	56.25	79.81	0.48	0.27	5.00	68.75	53.85	78.85	0.49	0.27	4.00	70.67	57.21	79.33	0.54	0.27	4.00	71.63	58.65	81.25	0.41	0.26	5.00	66.83	53.37	74.52
Brunei Darussalam	BRN	1.35	0.37	2.00	89.67	72.28	98.91	0.94	0.43	2.00	79.79	61.14	94.82	0.99	0.41	2.00	81.54	64.10	94.36	1.09	0.31	2.00	82.14	69.90	93.88	1.03	0.25	2.00	79.59	69.39	88.78	1.21	0.27	2.00	84.73	73.40	95.07	0.91	0.20	2.00	75.98	66.67	84.80	0.94	0.27	2.00	77.45	64.71	91.18	0.99	0.32	2.00	79.61	65.53	91.75	0.78	0.32	3.00	74.27	59.71	87.38	1.09	0.27	4.00	82.30	70.81	93.78	1.11	0.30	4.00	82.30	71.29	93.78	1.15	0.31	4.00	84.36	72.99	95.26	1.15	0.31	4.00	84.83	72.99	95.26	1.11	0.27	5.00	82.46	73.46	91.94	0.99	0.28	4.00	79.81	68.75	90.38	0.85	0.27	4.00	76.92	66.35	88.46	0.59	0.27	6.00	71.15	59.13	82.21	0.72	0.26	6.00	75.48	64.42	82.21	0.69	0.26	6.00	74.04	62.98	82.69	0.63	0.26	6.00	73.08	62.02	81.73
Bhutan	BTN	-0.41	0.39	1.00	34.24	14.67	62.50	-0.38	0.38	2.00	33.68	14.51	61.14	-0.34	0.34	3.00	36.41	15.38	60.00	-0.42	0.32	3.00	38.27	18.88	58.67	0.03	0.24	3.00	55.61	41.84	66.84	-0.82	0.25	4.00	20.69	9.85	38.92	-0.28	0.19	5.00	45.59	28.92	54.41	-0.57	0.23	5.00	29.90	17.16	48.53	-0.69	0.23	5.00	24.76	15.53	41.75	-0.75	0.20	6.00	22.82	15.53	37.86	-1.07	0.18	7.00	13.88	5.74	23.92	-1.17	0.18	7.00	10.53	5.26	20.10	-1.15	0.18	7.00	11.37	6.16	21.80	-1.09	0.19	7.00	12.32	7.11	24.17	-1.08	0.19	8.00	14.22	6.64	24.17	-1.00	0.20	8.00	16.35	7.21	28.37	-0.71	0.20	8.00	26.92	12.50	39.90	-0.67	0.21	8.00	26.92	12.98	40.87	-0.33	0.21	7.00	38.94	26.92	55.29	-0.34	0.22	6.00	38.46	24.52	55.29	-0.33	0.22	6.00	39.42	25.00	56.25
South Sudan	SSD	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-1.67	0.29	2.00	2.84	0.95	9.00	-1.47	0.23	5.00	6.16	1.90	12.32	-1.53	0.23	5.00	4.74	1.42	12.32	-1.67	0.22	6.00	4.33	1.92	7.69	-1.68	0.21	6.00	2.88	1.92	6.25	-1.86	0.21	6.00	2.88	0.96	4.33	-1.94	0.21	6.00	2.88	0.48	3.37	-2.05	0.21	6.00	2.40	0.00	3.37	-2.05	0.21	6.00	2.40	0.00	3.37
Botswana	BWA	0.65	0.31	4.00	70.65	60.33	83.70	0.68	0.27	6.00	73.06	61.14	85.49	0.63	0.25	6.00	72.82	60.00	82.56	0.78	0.20	8.00	74.49	66.33	82.65	0.79	0.18	8.00	74.49	67.35	81.12	0.66	0.17	9.00	71.92	64.53	78.33	0.67	0.16	9.00	70.59	62.75	75.98	0.53	0.17	10.00	65.69	57.35	73.04	0.46	0.17	10.00	65.53	57.28	72.82	0.49	0.17	10.00	65.05	57.77	73.79	0.49	0.16	10.00	66.03	56.94	73.68	0.46	0.16	10.00	66.03	56.46	75.12	0.49	0.16	10.00	67.77	56.87	75.83	0.61	0.17	11.00	72.51	60.19	77.25	0.58	0.17	11.00	69.19	60.19	77.25	0.59	0.18	10.00	72.12	62.98	76.44	0.44	0.17	11.00	68.27	57.21	73.08	0.53	0.17	10.00	70.19	62.50	75.96	0.46	0.17	10.00	69.71	61.06	75.48	0.45	0.17	10.00	68.27	62.02	75.48	0.37	0.17	10.00	65.87	58.65	73.08
Central African Republic	CAF	-0.89	0.39	1.00	21.20	5.43	45.11	-0.84	0.31	3.00	18.65	7.77	37.31	-0.86	0.29	3.00	16.92	8.72	34.36	-1.08	0.25	5.00	14.29	5.61	25.00	-1.10	0.21	5.00	14.29	5.10	21.43	-1.20	0.20	6.00	10.84	4.93	18.23	-1.34	0.18	6.00	8.33	3.43	16.18	-1.26	0.20	6.00	9.80	3.92	18.14	-1.29	0.20	6.00	8.74	2.91	16.99	-1.21	0.20	5.00	10.19	3.40	18.45	-1.26	0.17	8.00	8.13	4.78	17.22	-1.16	0.17	8.00	11.00	5.26	19.62	-1.19	0.17	8.00	9.48	6.16	20.38	-1.08	0.19	8.00	12.80	7.58	24.17	-1.17	0.18	8.00	11.37	5.69	22.27	-1.39	0.19	8.00	5.77	3.37	11.54	-1.44	0.18	8.00	5.29	2.40	11.54	-1.43	0.19	8.00	5.77	2.88	11.06	-1.48	0.19	8.00	4.81	3.37	11.06	-1.37	0.18	8.00	7.21	3.37	12.02	-1.37	0.18	8.00	7.21	3.37	11.54
Canada	CAN	1.49	0.28	6.00	91.30	80.98	98.91	1.60	0.28	6.00	94.82	86.01	99.48	1.52	0.24	6.00	92.82	83.08	98.46	1.58	0.23	6.00	92.86	84.18	100.00	1.56	0.20	6.00	91.84	85.71	99.49	1.63	0.21	6.00	94.58	86.21	100.00	1.57	0.17	6.00	93.63	87.75	100.00	1.56	0.21	7.00	93.63	85.78	99.51	1.61	0.22	7.00	94.17	86.41	99.51	1.65	0.23	7.00	95.63	86.89	100.00	1.70	0.22	7.00	96.65	87.56	100.00	1.70	0.24	7.00	96.17	86.12	100.00	1.69	0.22	8.00	95.73	88.15	100.00	1.71	0.23	8.00	95.73	89.10	100.00	1.74	0.22	8.00	95.26	89.57	100.00	1.85	0.23	8.00	97.60	90.87	99.52	1.72	0.22	8.00	93.75	89.90	99.04	1.74	0.23	8.00	94.23	88.94	99.04	1.89	0.22	8.00	97.60	91.35	100.00	1.71	0.22	8.00	94.23	88.46	99.04	1.72	0.22	8.00	95.67	88.94	99.52
Switzerland	CHE	1.56	0.28	6.00	95.11	83.70	98.91	1.71	0.28	6.00	96.37	87.56	99.48	1.86	0.24	6.00	97.95	90.77	100.00	1.78	0.23	6.00	97.96	88.78	100.00	1.72	0.20	6.00	96.94	88.78	100.00	1.65	0.21	6.00	95.07	86.70	100.00	1.55	0.17	6.00	93.14	86.76	100.00	1.50	0.22	6.00	92.65	84.80	99.51	1.64	0.23	6.00	95.15	86.41	100.00	1.56	0.24	6.00	93.69	84.95	99.51	1.55	0.22	7.00	94.26	84.21	100.00	1.62	0.24	7.00	94.74	85.17	100.00	1.62	0.23	7.00	94.79	86.26	100.00	1.66	0.25	7.00	95.26	86.73	100.00	1.63	0.24	7.00	94.31	86.26	100.00	1.81	0.25	7.00	96.15	89.90	99.52	1.74	0.24	7.00	95.19	89.90	99.04	1.91	0.25	7.00	98.08	91.83	100.00	1.88	0.24	7.00	97.12	90.87	100.00	1.80	0.24	7.00	97.12	89.90	99.52	1.66	0.24	7.00	94.71	86.54	99.52
Chile	CHL	1.54	0.28	6.00	94.02	83.15	98.91	1.39	0.26	7.00	91.19	80.31	96.89	1.41	0.22	7.00	90.77	82.56	95.38	1.45	0.20	8.00	89.29	82.65	97.45	1.46	0.17	8.00	90.82	82.65	96.94	1.40	0.18	9.00	88.67	80.30	95.57	1.36	0.16	9.00	89.22	79.41	96.57	1.47	0.18	10.00	92.16	84.80	98.04	1.51	0.18	10.00	92.23	85.92	97.57	1.52	0.19	9.00	92.72	86.41	98.06	1.46	0.18	9.00	92.34	84.21	97.13	1.44	0.18	9.00	91.39	83.25	97.61	1.46	0.17	10.00	91.47	84.83	95.73	1.54	0.18	10.00	92.42	86.73	98.10	1.49	0.18	10.00	91.94	86.26	96.68	1.49	0.19	10.00	91.83	85.58	95.67	1.35	0.18	10.00	88.94	80.29	92.31	1.37	0.18	10.00	89.90	83.17	92.31	1.34	0.20	9.00	88.94	80.29	93.27	1.34	0.18	10.00	88.46	81.73	93.27	1.22	0.18	10.00	84.13	76.44	91.35
China	CHN	-0.27	0.28	6.00	45.11	23.37	61.96	-0.30	0.26	7.00	38.34	22.80	56.99	-0.34	0.22	7.00	37.44	23.08	54.87	-0.51	0.20	8.00	34.18	20.41	46.43	-0.33	0.17	8.00	43.37	26.53	53.06	-0.31	0.18	9.00	44.33	27.59	54.68	-0.15	0.16	9.00	50.00	40.20	56.37	-0.20	0.18	10.00	48.04	33.33	54.90	-0.17	0.18	10.00	50.97	33.01	56.31	-0.15	0.18	10.00	50.97	36.41	55.34	-0.22	0.17	10.00	45.93	33.97	53.59	-0.23	0.17	10.00	44.50	33.97	53.11	-0.22	0.16	11.00	44.55	35.07	53.55	-0.24	0.18	11.00	44.08	32.23	53.55	-0.29	0.17	11.00	44.08	30.81	53.08	-0.28	0.18	11.00	43.75	31.25	53.85	-0.29	0.17	11.00	44.23	30.29	53.85	-0.26	0.18	11.00	44.23	29.33	53.85	-0.15	0.17	11.00	48.56	35.10	59.13	-0.19	0.17	11.00	47.12	34.62	58.65	-0.24	0.18	10.00	42.79	33.17	57.21
Côte d'Ivoire	CIV	-0.40	0.31	4.00	36.41	19.57	59.24	-0.22	0.27	6.00	41.45	24.35	60.62	-0.51	0.25	6.00	30.77	14.87	49.23	-0.42	0.21	7.00	37.76	21.94	51.53	-0.78	0.18	7.00	21.43	14.29	34.18	-0.96	0.18	8.00	16.75	9.85	24.63	-0.90	0.16	8.00	20.10	11.76	26.96	-0.92	0.18	9.00	18.63	10.78	26.96	-0.85	0.18	8.00	20.87	12.14	30.58	-0.90	0.17	10.00	18.45	11.17	29.61	-0.97	0.16	10.00	17.70	8.13	25.84	-0.93	0.16	10.00	19.14	8.13	27.27	-0.87	0.16	10.00	21.80	11.37	29.38	-0.76	0.17	11.00	24.64	14.22	33.18	-0.74	0.17	11.00	24.64	15.64	35.07	-0.59	0.17	11.00	30.29	20.19	42.31	-0.50	0.17	11.00	34.13	25.00	46.15	-0.36	0.17	11.00	39.90	26.92	51.92	-0.36	0.17	10.00	37.98	28.37	51.92	-0.20	0.17	10.00	46.15	34.62	57.21	-0.24	0.16	11.00	43.27	33.17	56.25
Cameroon	CMR	-1.12	0.31	4.00	13.04	4.89	25.00	-0.62	0.27	6.00	25.39	13.47	43.01	-0.59	0.25	6.00	26.67	13.85	42.56	-0.87	0.21	7.00	20.41	10.71	32.65	-0.84	0.18	8.00	19.39	13.27	30.61	-0.69	0.18	8.00	24.63	15.27	38.92	-0.93	0.16	9.00	19.12	11.76	25.49	-0.85	0.17	10.00	21.08	12.75	29.90	-0.85	0.17	10.00	20.39	12.62	30.10	-0.83	0.17	10.00	20.39	14.56	32.04	-0.76	0.16	10.00	24.40	15.31	33.97	-0.74	0.16	10.00	24.88	17.70	35.41	-0.81	0.16	11.00	23.22	13.74	31.75	-0.93	0.17	11.00	21.33	10.43	27.96	-0.94	0.17	11.00	18.96	9.95	26.54	-0.88	0.17	11.00	19.71	10.10	29.81	-0.92	0.17	11.00	16.83	10.10	28.37	-0.79	0.17	11.00	23.08	12.02	31.25	-0.82	0.17	11.00	20.19	11.54	30.77	-0.80	0.16	11.00	20.19	12.02	32.21	-0.83	0.16	11.00	19.23	11.54	30.29
Congo. Rep.	COG	-1.23	0.35	3.00	10.87	2.17	24.46	-1.16	0.29	5.00	11.40	5.70	24.35	-1.21	0.27	5.00	11.28	6.67	20.00	-1.02	0.25	5.00	15.82	7.14	28.06	-1.07	0.21	5.00	14.80	6.12	22.45	-0.97	0.21	6.00	16.26	8.37	27.09	-1.31	0.16	8.00	9.31	3.92	16.18	-1.21	0.18	8.00	11.27	4.41	18.63	-1.20	0.18	8.00	10.68	4.37	18.93	-1.27	0.18	8.00	8.25	3.40	16.02	-1.29	0.17	9.00	6.70	4.31	15.31	-1.27	0.16	9.00	7.66	4.78	17.70	-1.26	0.16	9.00	8.53	4.74	18.48	-1.36	0.18	9.00	8.06	2.37	13.74	-1.33	0.18	9.00	8.06	2.84	15.64	-1.21	0.18	9.00	9.62	4.33	18.27	-1.20	0.18	9.00	10.10	4.81	17.79	-1.17	0.18	9.00	10.58	5.29	18.27	-1.33	0.18	9.00	7.21	3.37	12.50	-1.33	0.18	9.00	7.69	3.85	12.50	-1.30	0.17	9.00	8.17	4.33	11.54
Cook Islands	COK	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.39	0.92	1.00	66.15	12.82	98.46	0.38	0.91	1.00	65.31	12.24	98.98	0.32	0.59	1.00	64.80	25.00	86.73	0.26	0.71	1.00	63.05	17.73	88.67	0.56	0.89	1.00	66.18	19.61	100.00	0.59	0.78	1.00	67.65	23.04	99.51	0.14	0.67	1.00	57.28	16.99	86.41	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-0.94	0.53	1.00	19.62	2.39	51.20	-1.24	0.49	1.00	8.13	1.91	35.89	-1.17	0.52	1.00	10.90	1.42	41.71	-1.14	0.56	1.00	11.85	1.42	45.02	-1.16	0.57	1.00	12.32	1.42	45.50	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Colombia	COL	-0.11	0.28	6.00	51.09	25.54	64.13	0.00	0.26	7.00	53.89	32.12	66.32	0.10	0.22	7.00	57.95	39.49	67.69	0.03	0.20	8.00	55.61	43.37	64.29	-0.09	0.17	8.00	52.04	40.82	58.67	-0.05	0.18	9.00	52.71	41.87	62.56	0.01	0.16	9.00	53.92	46.57	60.29	0.10	0.18	10.00	55.39	48.04	63.73	0.24	0.18	10.00	58.25	51.94	68.45	0.26	0.18	10.00	59.71	53.40	66.99	0.15	0.17	10.00	55.98	48.80	65.07	0.25	0.17	10.00	58.85	52.63	68.90	0.36	0.16	11.00	61.61	54.98	71.09	0.40	0.18	11.00	64.45	55.92	73.46	0.40	0.17	11.00	63.98	55.92	73.46	0.50	0.18	11.00	67.79	58.65	75.48	0.47	0.17	11.00	68.75	58.65	73.56	0.40	0.18	11.00	67.31	57.69	73.56	0.34	0.17	11.00	65.87	57.21	72.12	0.32	0.17	11.00	64.42	56.73	73.08	0.40	0.17	11.00	66.35	59.62	74.04
Comoros	COM	-1.13	0.39	1.00	12.50	2.72	28.80	-1.20	0.31	3.00	10.88	5.18	23.83	-1.24	0.29	3.00	10.26	5.13	20.00	-1.10	0.30	3.00	13.27	4.59	28.06	-1.37	0.24	3.00	7.65	2.55	17.35	-1.47	0.24	4.00	5.91	2.46	13.79	-1.51	0.19	4.00	4.90	1.96	11.76	-1.49	0.23	4.00	4.90	2.45	13.73	-1.45	0.24	4.00	5.34	2.43	16.02	-1.49	0.21	5.00	4.37	2.43	13.59	-1.55	0.22	5.00	4.78	2.39	9.57	-1.42	0.22	5.00	5.74	2.39	14.35	-1.36	0.22	5.00	7.11	2.37	17.06	-1.39	0.24	5.00	7.58	2.37	17.06	-1.20	0.23	5.00	10.43	3.79	23.22	-1.10	0.23	5.00	11.54	4.33	26.44	-1.03	0.22	5.00	13.46	5.29	28.37	-1.05	0.22	6.00	12.50	5.77	25.96	-1.04	0.22	6.00	12.98	5.77	27.40	-1.11	0.22	6.00	11.06	5.77	22.60	-1.12	0.22	6.00	10.58	5.77	22.12
Cape Verde	CPV	-0.53	0.71	1.00	27.17	3.80	69.57	-0.16	0.37	3.00	46.11	21.76	67.36	0.03	0.34	3.00	55.38	28.72	71.28	-0.24	0.28	4.00	44.90	23.47	61.22	-0.19	0.23	4.00	48.47	28.57	58.67	-0.32	0.23	5.00	43.35	24.63	55.67	-0.32	0.19	5.00	44.12	26.96	53.43	-0.18	0.21	6.00	49.02	30.39	56.86	-0.18	0.21	6.00	50.00	31.07	57.28	-0.04	0.20	6.00	52.91	40.29	59.71	0.04	0.20	6.00	53.59	44.50	62.68	-0.03	0.20	7.00	52.15	39.71	59.33	0.07	0.20	7.00	54.50	42.65	62.56	0.06	0.21	7.00	54.03	42.65	63.98	-0.10	0.20	7.00	48.82	35.55	58.29	-0.18	0.21	7.00	48.08	32.21	56.25	-0.26	0.20	7.00	45.19	29.81	54.33	-0.30	0.21	7.00	42.79	27.40	53.85	-0.20	0.20	7.00	46.15	30.77	59.13	-0.24	0.20	7.00	43.75	29.81	58.65	-0.22	0.21	7.00	44.71	30.29	59.62
Costa Rica	CRI	0.55	0.29	5.00	69.02	58.15	78.26	0.75	0.30	5.00	74.61	61.66	88.08	0.57	0.25	6.00	70.77	58.97	81.03	0.39	0.21	7.00	65.82	57.14	73.47	0.60	0.18	7.00	68.37	63.27	76.02	0.52	0.18	8.00	67.00	62.07	74.88	0.58	0.16	8.00	66.67	61.27	72.55	0.38	0.19	8.00	63.24	54.90	71.57	0.42	0.20	8.00	64.56	55.83	71.84	0.46	0.19	8.00	64.08	55.34	73.79	0.42	0.18	8.00	65.07	55.50	73.68	0.47	0.18	8.00	66.51	55.98	75.60	0.45	0.19	7.00	66.35	55.45	75.83	0.57	0.20	8.00	70.62	58.77	77.25	0.58	0.20	8.00	69.67	59.24	77.73	0.51	0.19	9.00	68.27	58.65	75.48	0.53	0.19	9.00	69.71	59.62	76.44	0.41	0.19	9.00	67.79	57.21	75.48	0.45	0.21	8.00	69.23	58.17	75.96	0.49	0.21	8.00	68.75	60.58	77.40	0.50	0.18	9.00	68.75	62.02	74.52
Cuba	CUB	-1.10	0.31	4.00	13.59	4.89	25.54	-1.32	0.34	4.00	8.81	4.15	21.76	-1.23	0.32	4.00	10.77	4.62	22.05	-1.29	0.23	5.00	8.67	4.08	19.39	-1.42	0.20	5.00	6.12	2.55	14.29	-1.60	0.20	6.00	4.93	1.97	8.87	-1.31	0.17	6.00	9.80	3.43	16.18	-1.43	0.20	7.00	6.86	2.45	14.71	-1.56	0.21	7.00	4.37	2.43	10.19	-1.50	0.22	6.00	3.88	2.43	14.08	-1.60	0.21	6.00	3.83	2.39	7.18	-1.67	0.21	6.00	3.35	2.39	7.18	-1.63	0.21	6.00	3.32	1.90	8.06	-1.56	0.22	7.00	3.79	1.42	10.43	-1.58	0.22	7.00	3.79	1.42	9.95	-1.33	0.22	7.00	7.69	3.37	16.83	-1.22	0.22	7.00	7.69	4.33	21.15	-1.34	0.23	7.00	6.73	3.37	14.90	-1.33	0.22	7.00	7.69	3.37	14.90	-1.46	0.22	7.00	6.25	2.88	11.54	-1.49	0.22	7.00	5.77	2.88	9.62
Cayman Islands	CYM	1.03	0.39	1.00	80.98	64.67	96.20	1.06	0.45	1.00	82.90	64.77	96.89	1.28	0.43	1.00	88.21	70.77	98.97	1.47	0.37	1.00	91.33	75.51	100.00	1.45	0.28	1.00	90.31	78.57	99.49	1.47	0.32	1.00	90.64	78.33	100.00	1.36	0.21	1.00	90.69	78.43	99.02	1.35	0.31	1.00	91.18	73.53	99.51	1.38	0.37	1.00	90.78	73.79	99.51	1.15	0.38	1.00	84.47	66.02	96.60	1.16	0.33	2.00	84.21	70.81	97.13	1.16	0.35	2.00	83.73	69.86	97.61	1.14	0.36	2.00	83.89	70.62	95.73	1.11	0.34	2.00	81.99	68.72	95.26	1.12	0.33	2.00	83.41	68.72	94.79	0.85	0.35	2.00	76.44	61.54	90.38	0.82	0.34	2.00	75.96	61.54	89.90	0.79	0.36	2.00	75.96	61.06	89.90	0.75	0.35	2.00	75.96	61.06	88.46	0.98	0.37	2.00	81.25	65.87	91.83	0.98	0.36	2.00	78.85	65.87	92.31
Cyprus	CYP	1.26	0.31	4.00	86.96	72.28	97.28	1.21	0.34	4.00	86.53	72.54	96.37	1.14	0.32	4.00	84.10	72.31	94.36	1.24	0.26	4.00	85.20	75.00	94.90	1.21	0.22	4.00	85.71	75.51	91.84	1.23	0.22	5.00	86.21	77.34	93.60	1.22	0.18	5.00	84.80	76.47	91.67	1.28	0.23	5.00	87.75	76.96	96.08	1.33	0.25	5.00	87.86	78.16	97.09	1.37	0.26	5.00	88.35	78.64	97.57	1.36	0.23	6.00	88.52	78.95	97.13	1.42	0.25	6.00	90.43	81.82	98.56	1.24	0.25	6.00	86.26	75.83	94.79	1.13	0.26	6.00	83.89	74.41	93.36	0.92	0.26	6.00	78.20	67.77	89.10	1.10	0.23	7.00	82.69	74.04	90.87	1.06	0.23	7.00	80.77	73.08	91.35	1.05	0.24	7.00	82.69	73.56	91.35	1.03	0.24	7.00	81.25	72.60	89.90	0.87	0.24	7.00	78.37	68.27	86.54	1.01	0.24	7.00	80.77	72.60	90.38
